block lot	planning neighborhood	project status	project date	units	planning project description	dbi project description	zoning_generalized	zoning_simplified	taz	total gsf (commercial)	office	cult, inst, educ	medical	prod, dist, rep	ret, ent	visitor	dbi permit	planning filed	dbi filed	landuse	status group	net added units	net added sf	net cult, inst, educ	net medical	net office	net prod, dist, rep	net ret, ent	net visitor	sitearea	block	lot	zoning	heightlimit	supdist	Location 1
block lot	planning neighborhood	best stat	best date	units	planning project description	dbi project description	zoning_generalized	zoning_simplified	taz	total gsf (commercial)	office	cult, inst, educ	medical	prod, dist, rep	ret, ent	visitor	dbi permit	planning filed	dbi filed	landuse	status group	net added units	net added sf	net cult, inst, educ	net medical	net office	net prod, dist, rep	net ret, ent	net visitor	sitearea	block	lot	zoning	heightlimit	supdist	
4172053	Central Waterfront	BP REINSTATED	11/03/2009 08:00:00 AM +0000	8		ERECT A FOUR STORY EIGHT UNIT RESIDENTIAL BLDG WITH COML	Mixed Use	NCT-2	521	0	0	0	0	0	0	0	9902819	04/26/2001 07:00:00 AM +0000	02/11/1999 08:00:00 AM +0000	Resident	BP Approved/Issued/Re-Instated	8	0	0	0	0	0	0	0	6090	4172	053	NCT-2	40-X	10	"1179 Tennessee St
(37.756751, -122.388969)"
0492025	Marina	BP ISSUED	04/11/2007 07:00:00 AM +0000	0	The proposed project involves the demolition of an 8,630 gsf, two-story (over grade parking) 30-room motel and construction of a 49,001gsf, 4-story hotel containing 97 rooms.	ERECT A NEW 4 STORY 89 UNIT TOURIST HOTEL W/ GARAGE	Mixed Use	NC-3	819	40370	0	0	0	0	0	40370	200606023107	06/11/2002 07:00:00 AM +0000	06/02/2006 07:00:00 AM +0000	Visitor	BP Approved/Issued/Re-Instated	0	40370	0	0	0	0	0	40370	13612	0492	025	NC-3	40-X	2	"2026 Lombard St
(37.800127, -122.43494)"
2676030	Inner Sunset	BP ISSUED	11/28/2007 08:00:00 AM +0000	1	Construct a new single-family dwelling on a vacant parcel in an RH-1(D) (Residential, House, One-Family, Detached) District and a 40-X Height and Bulk District.	ERECT 3 STORIES, 1 DWELLING UNIT WITH 1 BASEMENT BLDG.	Residential	RH-1(D)	545	0	0	0	0	0	0	0	200212042761	05/27/2003 07:00:00 AM +0000	12/04/2002 08:00:00 AM +0000	Resident	BP Approved/Issued/Re-Instated	1	0	0	0	0	0	0	0	6418	2676	030	RH-1(D)	40-X	7	"580 Oak Park Dr
(37.756322, -122.460196)"
3615026	Mission	BP ISSUED	08/26/2009 07:00:00 AM +0000	0	"The project is to demolish the existing single-story retail building and construct a new building that would be three-stories tall and would contain retail on the ground floor and offices on the second and third floors.
6/15/05 - Environmental Exemption"	ERECT A 3 STORY COMMERCIAL SHOP & OFFICE	Mixed Use	Mission Street	176	4999	4999	0	0	0	0	0	200302218059	08/07/2003 07:00:00 AM +0000	02/21/2003 08:00:00 AM +0000	MIPS	BP Approved/Issued/Re-Instated	0	4999	0	0	4999	0	0	0	3675	3615	026	Mission St NCT	65-B	9	"2525 Mission St
(37.756561, -122.418695)"
6942039	Ingleside, Other	BP ISSUED	10/09/2008 07:00:00 AM +0000	2	Demolish a one-family dwelling and construct a new two-family dwelling in an RH-2 (Residential, House, Two-Family) District and a 40-X Height and Bulk District.	ERECT 3 STORY TWO UNIT DWELLING.	Residential	RH-2	53	0	0	0	0	0	0	0	200701051057	03/25/2003 08:00:00 AM +0000	01/05/2007 08:00:00 AM +0000	Resident	BP Approved/Issued/Re-Instated	1	0	0	0	0	0	0	0	2815	6942	039	RH-2	40-X	11	"244 Granada Av
(37.722873, -122.45699)"
5618020	Bernal Heights	BP REINSTATED	02/20/2009 08:00:00 AM +0000	1	the project proposes the new construction of a single family residence without the required two parking spaces.	ERECT A TWO STORY SINGLE FAMILY DWELING	Residential	RH-1	116	0							200310066599	10/18/2007 07:00:00 AM +0000	10/06/2003 07:00:00 AM +0000	Resident	BP Approved/Issued/Re-Instated	1	0							1750	5618	020	RH-1	40-X	9	"152 Elsie St
(37.742132, -122.418345)"
7016023	Ingleside, Other	BP ISSUED	09/28/2011 07:00:00 AM +0000	1		ERECT A THREE STORY SINGLE FAMILY DWELLING	Residential	RH-1	35	0	0	0	0	0	0	0	200311240936	09/07/2004 07:00:00 AM +0000	11/24/2003 08:00:00 AM +0000	Resident	BP Approved/Issued/Re-Instated	1	0	0	0	0	0	0	0	2500	7016	023	RH-1	40-X	11	"652 Lakeview Av
(37.7184, -122.457838)"
6176011	South Central, Other	BP ISSUED	06/04/2010 07:00:00 AM +0000	1	Erect 3-story Type V, Single-Family Structure in a RH-1/40-X zoning district.	ERECT 3-STORY TYPE-V SINGLE FAMILY STRUCTURE	Residential	RH-1	30	0	0	0	0	0	0	0	200401063464	01/16/2009 08:00:00 AM +0000	01/06/2004 08:00:00 AM +0000	Resident	BP Approved/Issued/Re-Instated	1	0	0	0	0	0	0	0	4159	6176	011	RH-1	40-X	10	"23 Sparta St
(37.718079, -122.40335)"
4645018	India Basin	BP APPROVED	11/03/2008 08:00:00 AM +0000	4	Construct a vertical addition to accommodate three DUs, convert ground floor to a three-car garage, and change ground floor use from business to retail in an NC-2 (Small-Scale Neighborhood Commercial) District and a 40-X Height and Bulk District.	ADD 2 NEW FLOORS TO (E) STRUCTURE.RECONFIGURE (E)SPACE W/NEW ADDED SPACE TO CREATE 1 COMM'L SPACE,	Mixed Use	NC-2	446	0	0	0	0	0	0	0	200402267273	12/06/2004 08:00:00 AM +0000	02/26/2004 08:00:00 AM +0000	Resident	BP Approved/Issued/Re-Instated	4	-2560	0	0	0	-2560	0	0	2567	4645	018	NC-2	40-X	10	"860 Innes Av
(37.731973, -122.375385)"
