Block Lot	Planning Neighborhood	Best Stat	Best Date	Units	Planning Project Description	DBI Project Description	Zoning_Generalized	Zoning_Simplified	TAZ	Total GSF (Commercial)	Office	Cult, Inst, Educ	Medical	Prod, Dist, Rep	Ret, Ent	Visitor	Planning ID	DBI Permit	Planning Filed	DBI Filed	HEIGHTLIMIT	ZONING	FirstFiled	LANDUSE	EntitlementStatus	Net Added Units	Net Added SF	Net Cult, Inst, Educ	Net Medical	Net Office	Net Prod, Dist, Rep	Net Ret, Ent	Net Visitor	Location 1
3027A001	Ingleside, Other	CONSTRUCTION	24-Aug-11	3		CONSTRUCTION OF THREE-STORY SINGLE FAMILY DWELLING.	Residential	RH-1	436	0								200805061381		06-May-08	40-X	RH-1	06-May-08	Resident	-1	3	0							"207 Los Palmos Dr
(37.735778000000003, -122.449054)"
3180001	Balboa Park	PL Approved	12-Jul-10	71	New construction of mixed-use building with approximately 60 units of affordable housing, and 7,000 sq.ft of retail, and 6 parking spaces. 		Mixed Use	NC-T	65	11682	1139				10543		2009.1117		14-Dec-09		40-X/55-X/65-	Ocean Avenue NCT/P	14-Dec-09	Mixres	-1	71	11682			1139		10543		"50 Phelan Av
(37.723638000000001, -122.452174)"
3197010	Balboa Park	BP Filed	31-Oct-08	13	Demolition of an existing gas station with accessory use and construction of a 4-story building with 13 residential units over commercial space and a 13-car garage.	ERECT 4 STORIES COMMERCIAL & RESIDENTIAL, 13 DWELLING UNITS BUILDING.	Mixed Use	NC-T	915	0					0		2008.0538	200810315636	15-May-08	31-Oct-08	45-X	Ocean Avenue NCT	15-May-08	Resident	0	13	-2500	0	0	0	0	-2500	0	"1446 Ocean Av
(37.724356, -122.45771999999999)"
3507041	Downtown	CONSTRUCTION	23-Feb-12	719	Construction of new mixed-use building containing approximately 719 dwelling units and up to 719 parking spaces	TO ERECT A NEW 35 STORY 719 DWELLING UNITS WITH RETAIL & PARKING  & ASSEMBLY SPACE	Commercial	C-3-G	608	12250	0	0	0	0	12250	0	2006.0584	200607207084	03-May-06	20-Jul-06	200-S/320-S	C-3-G	03-May-06	Mixres	-1	719	12250	0	0	0	0	12250	0	"1401 Market St
(37.776411000000003, -122.417545)"
3509027	WSoMa	BP Filed	30-Jul-08	2	DEMOLITION OF EXISTING ONE-STORY OVER GARAGE SINGLE-FAMILY HOME. CONSTRUCTION OF A 5-STORY BUILDING WITH TWO RESIDENTIAL UNITS AND TWO OFFICES.	TO ERECT A NEW 5 STORY 2 UNIT BUILDING WITH OFFICES.	Industrial	SLR	609	0	0						2007.123	200807308027	05-Jun-08	30-Jul-08	50-X	SLR	05-Jun-08	Resident	-1	1	0			0				"49 Grace St
(37.775087999999997, -122.414618)"
3510001	Downtown	BP Filed	31-Oct-08	117	Demo. of a tire store and construction of a 16-story mixed-use project with 156 dwelling units, 156 off-street valet parking spaces, and 2,350 GSF of ground floor retail use & 2,430 sf office.  Zoning Map Change, CU, and Section 309.	CONSTRUCTION OF FOURTEEN STORIES WITH 3 BASEMENTS ONE HUNDRED SEVENTEEN UNITS W/COMMERCIAL MIXED USE	Industrial	C-M	609	4780	2430	0	0	0	2350	0	2005.054	200810315586	27-Aug-09	31-Oct-08	130-L	C-M	31-Oct-08	Mixres	-1	117	300	0	0	2430	-4480	2350	0	"1415 Mission St
(37.775095, -122.415999)"
3518007	WSoMa	CONSTRUCTION	22-Apr-09	2	Shadow Study for a new mixed-use building	ERECT A FIVE STORY COML BLDG WITH 2 RESIDENTIAL UNITS	Industrial	SLR	595	3750	0	0	0	0	3750	0	2002.082	200203151582	18-Jul-02	15-Mar-02	50-X	SLR	15-Mar-02	Mixres	-1	2	3750	0	0	0	0	3750	0	"252 09th St
(37.774211999999999, -122.41242699999999)"
3525046	WSoMa	BP ISSUED	13-Aug-08	0		CONSTRUCTION OF 2-STORY TYPE 5-1 HOUR AUTOMOBILE REPAIR SHOP.	Industrial	SLI	599	1496.25				1496.25				200712069799		06-Dec-07	40-X	SLI	06-Dec-07	PDR	-1	0	1496.25				1496.25			"264 Dore St
(37.771208999999999, -122.409829)"
3530049	Mission	BP ISSUED	22-Apr-08	1		Change of occupancy at 2nd floor to R-3/ PROVIDE 1 HOUR SEPARATION BETWEEN NEW DWELLING UNIT AND EXI	Industrial	PDR-1-G	590	0								200710034503		03-Oct-07	58-X	PDR-1-G	03-Oct-07	Resident	-1	1	0							"160 14th St
(37.768593000000003, -122.417115)"
3533165	Market Octavia	BP REINSTATED	06-Mar-12	3	The proposal is to demolish an existing office building and construct a new residential, four-story building containing three dwelling units.	TO ERECT 4 STORY 3 FAMILY DWELLING	Residential	RTO	232	0	0						2007.0984	200708109444	20-Aug-07	10-Aug-07	40-X	RTO	10-Aug-07	Resident	-1	3	-1640			-1640				"85 Brosnan St
(37.768534000000002, -122.423968)"
3534069	Market Octavia	BP ISSUED	27-Dec-12	37	The proposed project would include the demolition of a vacant auto garage and construct a 46-unit residential building with 29-parking spaces. The building would be four-stories, approximately 40 feet in height and 62,030 sq. ft. 	ERECT FOUR STORY 37 UNITS APARTMENT BUILDING.	Residential	RTO	232	0	0	0	0	0	0	0	2006.0848	201205180774	22-Jul-09	18-May-12	40-X	RTO	22-Jul-09	Resident	-1	37	-19037	0	0	0	-19037	0	0	"25 Dolores St
(37.768712999999998, -122.426525)"
3535001	Market Octavia	CONSTRUCTION	12-Dec-12	82	The project replaces the S&C Ford Showroon and adjacent parcel residential buildings with 185,418-gsf mixed use development: 29,715-gsf retail grocery with six to two floors of residential condominiums over, and two subsurface parking levels, totalling 75	TO ERECT 8 STORIES, 82 UNITS RESIDENTIAL, RETAIL AND GARAGE BUILDING.	Mixed Use	NCT-3	231	29715					29715		2008.055	201012206990	18-Dec-08	20-Dec-10	40-X/85-X	NCT-3	18-Dec-08	Mixres	-1	82	-14517	0	0	-332	-1900	-12285	0	"2001 Market St
(37.769005999999997, -122.426906)"
3537087	Market Octavia	PL Approved	10-Aug-11	5	Addition of 6th dwelling unit without sufficient exposure	ADDING 3 RESIDENTIAL DWELLING UNITS TO THE BUILDING. MAINTAINING THE CURRENT COMMERCIAL PERMITTED US	Residential	RTO	567	0							2011.0237	200803207576	10-Mar-11	20-Mar-08	40-X	RTO	20-Mar-08	Resident	-1	3	0							"435 Duboce Av
(37.769303999999998, -122.430024)"
3543011	Market Octavia	BP Filed	20-Jul-12	88	"The proposed project is the demolition of an existing gas station and construction of a new mixed use building with 88 dwelling units,44 off-street parking spaces, and 6,286 sf of retail space. The proposed new building would 

have a height along Market "	ERECT 6 STORIES , 88 DWELLING UNIT.TYPE 5 OVER 1	Neighborhood Commercial	UPR MARKET NCT	561	6286					6286		2012.011	201207205377	01-Jun-12	20-Jul-12	40-X/60/65-X	UPR MARKET NCT	01-Jun-12	Mixres	0	88	6286					6286		"2175 Market St
(37.766292, -122.430245)"
