Block Lot	Planning Neighborhood	Best Stat	Best Date	building_type_id	Units	Planning Project Description	DBI Project Description	Zoning_Generalized	Zoning_Simplified	TAZ	Total GSF (Commercial)	Office	Cult, Inst, Educ	Medical	Prod, Dist, Rep	Ret, Ent	Visitor	DBI Permit	Planning Filed	DBI Filed	HEIGHTLIMIT	ZONING	FirstFiled	LANDUSE	Net Added Units	Net Added SF	Net Cult, Inst, Educ	Net Medical	Net Office	Net Prod, Dist, Rep	Net Ret, Ent	Net Visitor	BLOCK	LOT	Location 1
4172053	Central Waterfront	BP REINSTATED	11/03/2009 12:00:00 AM	4	8		ERECT A FOUR STORY EIGHT UNIT RESIDENTIAL BLDG WITH COML	Mixed Use	NCT-2	521	0	0	0	0	0	0	0	9902819	04/26/2001 12:00:00 AM	02/11/1999 12:00:00 AM	40-X	NCT-2	02/11/1999 12:00:00 AM	Resident	8	0	0	0	0	0	0	0	4172	53	"1179 Tennessee St
(37.7559927, -122.3890583)"
3746001	Rincon Hill	BP ISSUED	05/29/2013 12:00:00 AM	4	669	Residential & Retail uses, and parking. Remove an existing US Postal Service surface parking lot and construct a new 38-40 story building with 806 residential units, ground floor retail, 806 off-street parking spaces for the residential use, 16 retail parking spaces and 263 USPS parking spaces.	Multiple Permits	Mixed Use	RC-4	765	0	0	0	0	0	0	0	201207124717	07/11/2002 12:00:00 AM	07/12/2012 12:00:00 AM	400-W	RC-4	07/11/2002 12:00:00 AM	Resident	669	0	0	0	0	0	0	0	3746	1	"201 Folsom St
(37.789186, -122.391823)"
3615026	Mission	BP ISSUED	08/26/2009 12:00:00 AM	10	0	"The project is to demolish the existing single-story retail building and construct a new building that would be three-stories tall and would contain retail on the ground floor and offices on the second and third floors._x000d_
6/15/05 - Environmental Exemption"	ERECT A 3 STORY COMMERCIAL SHOP & OFFICE	Mixed Use	Mission Street	176	4999	4999	0	0	0	0	0	200302218059	08/07/2003 12:00:00 AM	02/21/2003 12:00:00 AM	65-B	Mission St NCT	02/21/2003 12:00:00 AM	MIPS	0	4999	0	0	4999	0	0	0	3615	26	"2525 Mission St
(37.756587, -122.418501)"
6942039	Ingleside, Other	BP ISSUED	10/09/2008 12:00:00 AM	14	2	Demolish a one-family dwelling and construct a new two-family dwelling in an RH-2 (Residential, House, Two-Family) District and a 40-X Height and Bulk District.	ERECT 3 STORY TWO UNIT DWELLING.	Residential	RH-2	53	0	0	0	0	0	0	0	200701051057	03/25/2003 12:00:00 AM	01/05/2007 12:00:00 AM	40-X	RH-2	03/25/2003 12:00:00 AM	Resident	1	0	0	0	0	0	0	0	6942	39	"244 Granada Av
(37.722873, -122.45699)"
5618020	Bernal Heights	BP REINSTATED	02/20/2009 12:00:00 AM	14	1	the project proposes the new construction of a single family residence without the required two parking spaces.	ERECT A TWO STORY SINGLE FAMILY DWELING	Residential	RH-1	116	0							200310066599	10/18/2007 12:00:00 AM	10/06/2003 12:00:00 AM	40-X	RH-1	10/06/2003 12:00:00 AM	Resident	1	0							5618	20	"152 Elsie St
(37.742132, -122.418345)"
7016023	Ingleside, Other	BP ISSUED	09/28/2011 12:00:00 AM	14	1		ERECT A THREE STORY SINGLE FAMILY DWELLING	Residential	RH-1	35	0	0	0	0	0	0	0	200311240936	09/07/2004 12:00:00 AM	11/24/2003 12:00:00 AM	40-X	RH-1	11/24/2003 12:00:00 AM	Resident	1	0	0	0	0	0	0	0	7016	23	"652 Lakeview Av
(37.7184, -122.457838)"
6176011	South Central, Other	BP ISSUED	06/04/2010 12:00:00 AM	14	1	Erect 3-story Type V, Single-Family Structure in a RH-1/40-X zoning district.	ERECT 3-STORY TYPE-V SINGLE FAMILY STRUCTURE	Residential	RH-1	30	0	0	0	0	0	0	0	200401063464	01/16/2009 12:00:00 AM	01/06/2004 12:00:00 AM	40-X	RH-1	01/06/2004 12:00:00 AM	Resident	1	0	0	0	0	0	0	0	6176	11	"23 Sparta St
(37.718079, -122.40335)"
4645018	India Basin	BP ISSUED	06/24/2013 12:00:00 AM	4	4	Construct a vertical addition to accommodate three DUs, convert ground floor to a three-car garage, and change ground floor use from business to retail in an NC-2 (Small-Scale Neighborhood Commercial) District and a 40-X Height and Bulk District.	ADD 2 NEW FLOORS TO (E) STRUCTURE.RECONFIGURE (E)SPACE W/NEW ADDED SPACE TO CREATE 1 COMM'L SPACE,	Mixed Use	NC-2	446	0	0	0	0	0	0	0	200402267273	12/06/2004 12:00:00 AM	02/26/2004 12:00:00 AM	40-X	NC-2	02/26/2004 12:00:00 AM	Resident	4	-2560	0	0	0	-2560	0	0	4645	18	"860 Innes Av
(37.731973, -122.375385)"
3749059	Rincon Hill	BP ISSUED	09/05/2012 12:00:00 AM	4	224	Demolition of an existing building and construction of a 400-foot mixed-use building with 305 dwelling units, 280 off-street parking spaces, and 1,000 GSF of ground floor retail use.  	TO ERECT 40 STORIES, 224 UNITS RESIDENTIAL & MIXED USE BUILDING.	High Density Residential	RH DTR	732	0	0	0	0	0	0	0	201009140800	05/19/2004 12:00:00 AM	09/14/2010 12:00:00 AM	65-X/ 65/400-	RH DTR	05/19/2004 12:00:00 AM	Resident	224	-14000	0	0	-15000	0	1000	0	3749	59	"45 Lansing St
(37.786042, -122.393859)"
4846018	BVHP Area A,B	BP ISSUED	05/23/2008 12:00:00 AM	7	0		ERECT A NEW 2 STORY CONTRACTOR'S WAREHOUSE & OFFICE	Industrial	PDR-2	892	7500	1000	0	0	6500	0	0	200405285091		05/28/2004 12:00:00 AM	40-X	PDR-2	05/28/2004 12:00:00 AM	PDR	0	7500	0	0	1000	6500	0	0	4846	18	"1351 Yosemite Av
(37.724347, -122.387592)"
