PROJECT_TYPE	BLKLOT	NAMEADDR	alias	BESTDATE	BESTSTAT	Entitlement	UNITS	UNITSNET	PLN_CASENO	PLN_DESC	BP_APPLNO	PROPUSE	BP_DESC	AFF_UNITS	NET_AFF_UNITS	TOTAL_GSF	RET	MIPS	CIE	MED	PDR	VISIT	NET_GSF	NET_CIE	NET_MED	NET_MIPS	NET_PDR	NET_RET	NET_VISIT	FILEDATE	NEIGHBORHOOD	ZONING_GEN	ZONING_SIM	ZONING_DISTRICT	HEIGHT_DISTRICT	APPLICANT	CONTACT	Geography
Mixres	4886008	HUNTERS POINT EXPY	Bayview Waterfront	08/03/2010	PL APPROVED	true	10500	10237	2007.0946	Redevelopment plans, rezoning, projects, and infrastructure for 778-acre site encompassing BVHP Areas B, C, and Shipyard, for Candlestick Point, Hunters Point Shipyard, and India Basin Shoreline, including an estimated 9,000-du, 650,000-sf retail, 2,000,				3345	3089	4110000	750000	2756250	0	0	393750	210000	4110000	0	0	2756250	393750	750000	210000	01/11/2010	Bayview	Public	P	PUBLIC	40-X	SF Redevelopment Agency	Nicole Franklin	(37.711469000000001, -122.381602)
Mixres	7303001	PARKMERCED	Parkmerced	05/25/2011	PL APPROVED	true	8898	5677	2008.0021	Master redevelopment program for 116-ac Parkmerced site, proposed to retain existing midrise bldgs and demo/replace all others w/ 4-14-story residential bldgs, on-site relocation of existing residents @ current rent-controlled rates, concurrent infrastru				0	-3221	521450	430060	91390	0	0	0	0	478383	0	0	80615	0	397768	0	12/07/2009	Lakeshore	Residential	PM-OS	PARKMERCED-OPEN SPACE	40-OS-PM	Seth Mallen	Barbara Sahm	(37.720500000000001, -122.47545100000001)
Mixres	1939001	TREASURE ISLAND	Treasure Island	03/15/2011	PL APPROVED	true	8619	7800	2007.0903	Development and Redevelopment Plan for Treasure Island and Yerba Buena Island, including land uses up to (approximately): 6,000 units residential, 500 rooms hotel, 250,000-sf retail, 300 acres park and open space, parking, reuse and historic rehabilitati				2050	1800	381000	250000	0	0	0	0	131000	381000	0	0	0	0	250000	131000	03/15/2011	Treasure Island/YBI	Public	TI-OS/TI-R/TI-MU/TI-PCI	TREASURE ISLAND	See Treasure Island Zoning Map			(37.823551500000001, -122.370648)
Mixres	6310001	1654 SUNNYDALE AVE	Sunnydale Hope SF	04/28/2010	PL FILED	false	1700	915	2010.0305	The project project is the Sunnydale HOPE SF Master Plan. The proposed project would demolish the existing Sunnydale public housing complexes and construct replacement housing, new market rate housing, infrastructure, open space, and community ammentitie				1700	915	88700	88700	0	0	0	0	0	59424	0	0	0	0	59424	0	04/28/2010	Visitacion Valley	Residential	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	40-X			(37.712432, -122.41759399999999)
Mixres	4167004	1 TURNER TR	Potrero Hope SF	06/30/2010	PL FILED	false	1600	994	2010.0515	Replace 606 units of public housing with 1,400-1,700 units of mixed-income, mixed-tenure housing, including 1-to1 replacement of public housing. Project will also include neighborhood serving retail, community facilities, parks and open space, and a new		APARTMENTS		0	0	30000	20000	10000	0	0	0	0	30000	0	0	10000	0	20000	0	06/30/2010	Potrero Hill	Residential	RM-2	RESIDENTIAL- MIXED, MODERATE DENSITY	40-X			(37.757050900000003, -122.39567030000001)
Mixres	9900048	PIER 48	Seawall Lot 337	04/23/2013	PL FILED	false	1500	1500	2013.0208	The proposed project is the development of Seawall Lot 337 and Pier 48 (i.e. Mission Rock), which will include a mixed-use development, including open space, commercial, residential, retail and parking. The project would include approximately 3,600,000 s				0	0	1950000	250000	1700000	0	0	0	0	1950000	0	0	1700000	0	250000	0	06/04/2013	South of Market	Industrial	M-2	HEAVY INDUSTRIAL	40-X	Jon Knorpp	Jon Knorpp	(37.7758988, -122.38766149999999)
Resident	3746001	201 FOLSOM ST	390 Main St	03/30/2015	CONSTRUCTION	true	806	806	2000.1073	Residential & Retail uses, and parking. Remove an existing US Postal Service surface parking lot and construct a new 38-40 story building with 806 residential units, ground floor retail, 806 off-street parking spaces for the residential use, 16 retail pa	201207124717	APARTMENTS	Multiple Permits	0	0	23505	23505	0	0	0	0	0	23505	0	0	0	0	23505	0	07/11/2002	South of Market	Mixed Use	RC-4	RESIDENTIAL- COMMERCIAL, HIGH DENSITY	400-W			(37.789186000000001, -122.391823)
Resident	7282005	515 JOHN MUIR DR		10/21/2014	CONSTRUCTION	true	722	2			201308093997	APARTMENTS	WORK FOR UNIT# 104 & # 106 ONLY. CHANGE OF USE. FROM ANCILLARY OFFICE USAGE TO 2 DWELLING UNIT (HIGH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Lakeshore	Public	P	PUBLIC	OS			(37.714910000000003, -122.493222)
Mixres	0813007	1390 MARKET ST		05/28/2009	PL APPROVED	true	676	230	2005.0979	Fox Plaza currently contains two buildings: a 29-story mixed-use building and a two-story commercial building.  The proposal would demolish the existing two-story, 19,000 structure located on the NE corner of the lot and construct a new building which wo		APARTMENTS		0	0	17500	17500	0	0	0	0	0	-1500	0	0	-9500	0	8000	0	10/19/2005	Downtown/Civic Center	Commercial	C-3-G	DOWNTOWN- GENERAL	120-R-2			(37.777300400000001, -122.4170096)
Resident	3737012	245 01ST ST		12/23/2014	BP FILED	false	603	603			201412234418	APARTMENTS	"TO ERECT 55 STORIES, 2.5 BASEMENT, 603 UNITS RESIDENTIAL, RETAIL & PARKING BUILDING.
** MAHER: COMPL"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Financial District	High Density Residential	TB DTR	TRANSBAY DOWNTOWN RESIDENTIAL	50/85/550-TB			(37.787900112000003, -122.39459403799999)
Resident	3911001	1 HENRY ADAMS ST		03/24/2015	CONSTRUCTION	true	560	560	2012.0701	Demolish an existing building (Concourse Exhibit Hall) containing 125,000 square feet of space and 280 surface parking spaces and construct new buildings extending up to 70 feet in height and containing 560 dwellings, 438 off-street parking space, and 8,	201306250394	APARTMENTS	Multiple Permits	0	0	0	0	0	0	0	0	0	15000	0	0	0	0	15000	0	05/31/2012	South of Market	Mixed Use	UMU	URBAN MIXED USE	68-X	Robert Meyers	Robert Meyers	(37.769666000000001, -122.40386599999999)
Mixres	3783001	801 BRANNAN ST		09/26/2014	BP ISSUED	true	557	557	2012.0700	Demolish an existing building (Concourse Exhibit Hall) containing 125,000 square feet of space and 280 surface parking spaces and construct new buildings extending up to 70 feet in height and containing 560 dwellings, 438 off-street parking space, and 8,	201309045886	APARTMENTS	ERECT 6-STORY, 437 DWELLING UNITS, TYPE 1A& 3A, RESIDENTIAL/RETAIL/PAQRKING BUILDING.	0	0	8000	8000	0	0	0	0	0	8000	0	0	0	0	8000	0	05/31/2012	South of Market	Mixed Use	UMU	URBAN MIXED USE	68-X	Bay West	Robert Me	(37.772950000000002, -122.40322399999999)
Resident	3738004	280 BEALE ST		03/25/2015	CONSTRUCTION	true	479	479			201304023626	APARTMENTS	TO ERECT 32 STORIES, 479 CONDO UNITS WITH RETAIL.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Financial District	High Density Residential	TB DTR	TRANSBAY DOWNTOWN RESIDENTIAL	50/85-TB			(37.788879600000001, -122.3929894)
Resident	3833001	1000 16TH ST		09/07/2012	CONSTRUCTION	true	450	450	2003.0527	The proposed project involves the construction of three building residential complex including 450 dwelling units, 26,500gsf of ground-floor retail space and 503 off-street parking spaces.  The project would include a partial street vacation to narrow th	201112070227	APARTMENTS		0	0	26500	26500	0	0	0	0	0	26500	0	0	0	0	26500	0	02/23/2006	South of Market	Mixed Use	UMU	URBAN MIXED USE	68-X	Andy Stewart	Daniel Murphy	(37.766489999999997, -122.39698799999999)
Mixres	3747320	399 FREMONT ST	The Californian	03/26/2015	CONSTRUCTION	true	447	447		The proposal is to demolish the existing structure and construct a new structure that would include a 400-foot tower, 450 dwelling units, and 450 off-street parking spaces.	200605161774	APARTMENTS	ERECT 41 STORIES 432 DWELLING RESIDENTIAL/PARKING BLDG.	0	0	33000	8500	24500	0	0	0	0	-2256	0	0	24500	-35256	8500	0	04/18/2006	South of Market	High Density Residential	RH DTR	RINCON HILL DOWNTOWN RESIDENTIAL	85/200-R	Katie Haley	Lucian Robert Blazej	(37.7868171, -122.3920976)
Mixres	0814001	150 VAN NESS AVE		04/23/2014	PL FILED	false	429	429	2013.0973	The proposed project is a 13 story, 429 unit residential bldg. on Hayes Street between Van Ness Avenue and Polk Street. The project would contain 512,010 gsf, including 410,760 sf of residential, 90,600 of subsurface parking and 9,000 sf of retail on the				0	0	9000	9000	0	0	0	0	0	-127558	0	0	-136558	0	9000	0	10/25/2013	Downtown/Civic Center	Commercial	C-3-G	DOWNTOWN- GENERAL	120-R-2	Marc Babsin	Marc Babsin	(37.777091900000002, -122.4194433)
