PROJECT_TYPE	APN	NAMEADDR	Alias	BESTSTAT	BESTDATE	Entitlement	PLN_CASENO	BP_APPLNO	PROPUSE	PLN_DESC	BP_DESC	UNITS	NET_UNITS	AFF_UNITS	NET_AFF_UNITS	TOTAL_GSF	NET_GSF	CIE	NET_CIE	MED	NET_MED	MIPS	NET_MIPS	PDR	NET_PDR	RET	NET_RET	VISIT	NET_VISIT	FILEDATE	PLANNER	APPLICANT	CONTACT	CONTACTPH	SOURCE	Supe_District	PLAN_AREA	PLAN_DISTRICT	NEIGHBORHOOD	ZONING_SIM	ZONING_DISTRICT	HEIGHT_DISTRICT	Location
Mixres	APN 3725093	925 MISSION ST	5M	PL FILED	05/15/2015	0	2011.0409				Project review for a development .  A mix of residential, office, retail and other uses on the approx. 4 acre site on the SE corner of 5th/ Mission and extending towards sixth street & south to Howard Street,  The site is comprised of 23 parcels.	688	688	58	58	617900	574800	17300	-23600	0	0	593500	591300	0	0	7100	7100	0	0	07/27/2011	KGUY				CASE TRACKING	D6	Central SoMa; Downtown	Downtown	South of Market	C-3-S	DOWNTOWN SUPPORT	160-F	(37.78215365440, -122.40660110900)
Mixres	APN 3746003	201 FOLSOM ST	Lumina	CONSTRUCTION	07/23/2015	-1	2000.1073	201207124717		Residential & Retail uses, and parking. Remove an existing US Postal Service surface parking lot and construct a new 38-40 story building with 806 residential units, ground floor retail, 806 off-street parking spaces for the residential use, 16 retail pa	Multiple Permits	669	669	0	0	23505	23505	0	0	0	0	0	0	0	0	23505	23505	0	0	07/11/2002	MSNYDER				manual	D6	Rincon Hill	South of Market	South of Market	RC-4	RESIDENTIAL- COMMERCIAL, HIGH DENSITY	400-W	(37.78868201650, -122.39185135300)
Resident	APN 3737012	245 01ST ST		BP FILED	12/23/2014	0		201412234418	APARTMENTS		"TO ERECT 55 STORIES, 2.5 BASEMENT, 603 UNITS RESIDENTIAL, RETAIL & PARKING BUILDING.
** MAHER: COMPL"	603	603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D6	Transbay; Transit Center District	South of Market	Financial District	TB DTR	TRANSBAY DOWNTOWN RESIDENTIAL	50/85/550-TB	(37.78790011200, -122.39459403800)
Resident	APN 3911001	1 HENRY ADAMS ST		CONSTRUCTION	04/21/2015	-1	2012.0701	201306250394	APARTMENTS	Demolish an existing building (Concourse Exhibit Hall) containing 125,000 square feet of space and 280 surface parking spaces and construct new buildings extending up to 70 feet in height and containing 560 dwellings, 438 off-street parking space, and 8,	Multiple Permits	560	560	0	0	0	15000	0	0	0	0	0	0	0	0	0	15000	0	0	05/31/2012	DSIDER	Robert Meyers	Robert Meyers	415-788-2777	CASE TRACKING	D10	Showplace Square/Potrero Hill (EN)	South of Market	South of Market	UMU	URBAN MIXED USE	68-X	(37.76920143220, -122.40347298500)
Mixres	APN 3506007	1500-1580 MISSION ST	GOODWILL	PL FILED	12/18/2014	0	2014-000362PRJ			The proposed project would demolish two buildings, except for a portion of Mission Street frontage and clock tower of the 1500 Mission Street building and construct a mixed-use project. The mixed-use building would include ground-floor retail, residentia		550	550	110	110	513000	426018	0	0	0	0	462000	447009	0	-5700	51000	36009	0	0		KGUY	Related California Urban Housing		415-677-9000	manual	D6	Market and Octavia; Downtown	Mission	South of Market	C-3-G	DOWNTOWN- GENERAL	85/250-R-2	(37.77382218830, -122.41841702400)
Resident	APN 3736120	500 FOLSOM ST		BP FILED	03/11/2015	0		201503110506	APARTMENTS		TO ERECT 42 STORIES, 6 BASEMENTS, 545 UNITS RESIDENTIAL APARTMENT BUILDING.	545	545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D6	Transbay; Transit Center District	South of Market	Financial District	TB DTR	TRANSBAY DOWNTOWN RESIDENTIAL	50/165/400-TB	(37.78720355540, -122.39510677000)
Mixres	APN 3833001	1000 16TH ST	Potrero1010	CONSTRUCTION	09/07/2012	-1	2003.0527	201112070227		The proposed project involves the construction of three building residential complex including 450 dwelling units, 26,500gsf of ground-floor retail space and 503 off-street parking spaces.  The project would include a partial street vacation to narrow th		470	470	94	94	26500	26500	0	0	0	0	0	0	0	0	26500	26500	0	0	02/23/2006	KDURANDE	Andy Stewart	Daniel Murphy	(650)359-535	BLDG PERMIT	D10	Showplace Square/Potrero Hill (EN)	South of Market	South of Market	UMU	URBAN MIXED USE	68-X	(37.76710834060, -122.39659516800)
Resident	APN 4105009	800 INDIANA STREET		PL FILED	10/10/2013	0	2011.1374			The proposed project is the demolition of the existing Opera Warehouse and construction of a new 340-unit multi-family units and 294 parking spaces. The project would be constructed in six building with a semi subterraen parking garage.		340	340	0	0	0	-78240	0	0	0	0	0	0	0	-78240	0	0	0	0	10/10/2013	RSUCRE	Lou Vasquez	Joe Kirchofer	415-284-9080	CASE TRACKING	D10	Central Waterfront (EN)	South of Market	Potrero Hill	UMU	URBAN MIXED USE	58-X	(37.75919640330, -122.39172904700)
Mixres	APN 3747320	399 FREMONT ST		CONSTRUCTION	07/20/2015	-1	2002.0449	200605161774		The proposal is to demolish the existing structure and construct a new structure that would include a 400-foot tower, 450 dwelling units, and 450 off-street parking spaces.	ERECT 41 STORIES 432 DWELLING RESIDENTIAL/PARKING BLDG.	452	452	0	0	33000	-2256	0	0	0	0	24500	24500	0	-35256	8500	8500	0	0	04/18/2006	MSNYDER	Katie Haley	Lucian Robert Blazej	415.695.1111	CASE TRACKING	D6	Rincon Hill	South of Market	South of Market	RH DTR	RINCON HILL DOWNTOWN RESIDENTIAL	85/400-R	(37.78732243330, -122.39222370700)
Resident	APN 8704004	360 BERRY ST	Eviva	CONSTRUCTION	07/17/2015	-1		201312265046	APARTMENTS		ERECT A 5-STORIES, NO BASEMENT, 129 UNITS RESIDENTIAL BUILDING.	129	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/26/2013					PERMIT TRACKING	D6	Mission Bay	South of Market	South of Market	MB-RA	SEE MISSION BAY SOUTH REDEVELOPMENT PLAN	MB-RA	(37.77303448120, -122.39726333100)
