PROJECT_TYPE	APN	NAMEADDR	Alias	BESTSTAT	BESTDATE	Entitlement	UNITS	NET_UNITS	AFF_UNITS	NET_AFF_UNITS	BP_APPLNO	BP_DESC	PROPUSE	PLN_CASENO	PLN_DESC	TOTAL_GSF	NET_GSF	CIE	NET_CIE	MED	NET_MED	MIPS	NET_MIPS	PDR	NET_PDR	RET	NET_RET	VISIT	NET_VISIT	FirstFiled	APPLICANT	CONTACT	CONTACTPH	PLANNER	NEIGHBORHOOD	SOURCE	SUPE_DISTRICT	PLAN_DISTRICT	PLAN_AREA	HEIGHT_DISTRICT	ZONING_SIM	ZONING_DISTRICT	Location
Mixres	APN 4884025	HUNTERS POINT SHIPYARD, PHASE II	HP SHIPYARD PHASE 2 (REMAINING UNITS)	PL APPROVED	10/27/2015	-1	10172	9916	3345	3089				2007.0946	Redevelopment plans, rezoning, projects, and infrastructure for 778-acre site encompassing BVHP Areas B, C, and Shipyard, for Candlestick Point, Hunters Point Shipyard, and India Basin Shoreline, including an estimated 9,000-du, 650,000-sf retail, 2,000,	4110000	4110000	0	0	0	0	2756250	2756250	393750	393750	750000	750000	210000	210000	01/11/2010	SF Redevelopment Agency	Nicole Franklin		JNAVARRE	Bayview	manual	SUPERVISORIAL DISTRICT 10	South Bayshore	Bayview Hunters Point / Candlestick Point	CP	P	PUBLIC	(37.71938264020, -122.38493438200)
Mixres	APN 7308001	PARKMERCED, PHASE I	PARKMERCED (REMAINING UNITS)	BP FILED	01/25/2016	0	4666	4666	284	284				2014.137	Phase 1 is comprised of four development subphases: Subphase A through Subphase D. The parcels subject to Phase 1 are shown by subphase on the attached Existing Phase 1 Site Plan diagram and further described by block number and area on page 4 of this ap	0	0	0	0	0	0	0	0	0	0	0	0	0	0	09/08/2014					Lakeshore	MOHCD	SUPERVISORIAL DISTRICT 7	Ingleside	Parkmerced	45-PM	PM-R	PARKMERCED-RESIDENTIAL	(37.72050478190, -122.48387500900)
Mixres	APN 5087003	SCHLAGE LOCK	2201 BAYSHORE BLVD	PL APPROVED	07/22/2014	-1	1679	1679	168	168				2014.114	Schlage Lock Project Tentative Subdivision Map #7182 for the development of up to 1,679 dwelling units and up to 20 commercial condominium units over 13 lots, together with parks, open spaces, pedestrian pathways and public streets.	38000	38000	0	0	0	0	18000	18000	0	0	20000	20000	0	0	07/22/2014				CFLORES	Visitacion Valley	manual	SUPERVISORIAL DISTRICT 10	South Bayshore	Schlage Lock	57-X	MUG	MIXED USE-GENERAL	(37.71165296840, -122.40222246300)
Mixres	APN 9900048	PIER 48 / SEAWALL LOT 337	MISSION ROCK	PL FILED	04/23/2013	0	1500	1500	0	0				2013.0208	The proposed project is the development of Seawall Lot 337 and Pier 48 (i.e. Mission Rock), which will include a mixed-use development, including open space, commercial, residential, retail and parking. The project would include approximately 3,600,000 s	1950000	1950000	0	0	0	0	1700000	1700000	0	0	250000	250000	0	0	06/04/2013	Jon Knorpp	Jon Knorpp	972-1760	TSHEYNER	South of Market	CASE TRACKING	SUPERVISORIAL DISTRICT 6	South of Market		40-X	M-2	HEAVY INDUSTRIAL	(37.77570376350, -122.38613511100)
Mixres	APN 4110001	PIER 70	WATERFRONT SITE	PL FILED	02/10/2015	0	1100	1100	0	0				2014-001272PRJ	"The proposed project would involve development of a 28-acre site into a mixed-use development, including parks, roads, and infrastructure. Below is a breakdown of the use types of the pier 70-waterfront site development. 

Residential ? Development of"	2492050	2492050	0	0	0	0	2024050	2024050	468000	468000	0	0	0	0	11/10/2014		Forest City Development California	415)(	ACONTRER	Potrero Hill	CASE TRACKING	SUPERVISORIAL DISTRICT 10	South of Market	Central Waterfront (EN)	65-X	M-2	HEAVY INDUSTRIAL	(37.75975413610, -122.38699351500)
Mixres	APN 4167004	HOPE SF POTRERO	1101 CONNECTICUT ST	PL FILED	06/30/2010	0	1600	994	0	0			APARTMENTS	2010.0515	Replace 606 units of public housing with 1,400-1,700 units of mixed-income, mixed-tenure housing, including 1-to1 replacement of public housing. Project will also include neighborhood serving retail, community facilities, parks and open space, and a new	30000	30000	0	0	0	0	10000	10000	0	0	20000	20000	0	0	06/30/2010				MSNYDER	Potrero Hill	PERMIT TRACKING	SUPERVISORIAL DISTRICT 10	South of Market	Showplace Square/Potrero Hill (EN)	40-X	RM-2	RESIDENTIAL- MIXED, MODERATE DENSITY	(37.75582048020, -122.39514414600)
Mixres	APN 4644002A	700 INNES ST	INDIA BASIN	PL FILED	12/09/2014	0	980	980	0	0				2014-002541PRJ	The Project proposes a multi phased development with 15.9 acres of publicly accessible parks, plazas and open space, 4.02 acres of publicly accessible sreets, sidewalks, stairs & bike lanes and a total of 1,472,150 sf of development building area (reside	46400	46400	0	0	0	0	0	0	0	0	46400	46400	0	0	12/09/2014					Bayview	CASE TRACKING	SUPERVISORIAL DISTRICT 10	South Bayshore	India Basin Shoreline/Area C / Bayview Hunters Point	40-X	NC-2	NEIGHBORHOOD COMMERCIAL, SMALL SCALE	(37.73018741080, -122.37203675300)
Mixres	APN 6310001	HOPE SF SUNNYDALE	1500 SUNNYDALE AV	PL FILED	04/28/2010	0	1700	915	1700	915				2010.0305	The project project is the Sunnydale HOPE SF Master Plan. The proposed project would demolish the existing Sunnydale public housing complexes and construct replacement housing, new market rate housing, infrastructure, open space, and community ammentitie	88700	59424	0	0	0	0	0	0	0	0	88700	59424	0	0	04/28/2010				MSNYDER	Visitacion Valley	manual	SUPERVISORIAL DISTRICT 10	South Central		40-X	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	(37.71308743010, -122.41899015300)
Resident	APN 7518081	868 DUNCAN ST		BP FILED	03/02/2015	0	2	1	0	0	201503029743	LEGALIZE 1ST FLOOR UNIT AS PER ORDINACE 43-14.	2 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	03/02/2015					Noe Valley	PERMIT TRACKING	SUPERVISORIAL DISTRICT 8	Central		40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	(37.74560302020, -122.43923195300)
Mixres	APN 3506004	10 SOUTH VAN NESS AV		PL FILED	04/14/2015	0	767	767	0	0				2015-004568PRJ	New high-rise, mixed-use construction consisting of studio, 1-bedroom, 2-bedroom and 3-bedroom residential units, associated amenity spaces, and retail spaces at the ground floor.  Proposed project entails two 400' towers over a 120' podium building, wit	20400	-30400	0	0	0	0	0	0	0	-50800	20400	20400	0	0	04/14/2015					South of Market	CASE TRACKING	SUPERVISORIAL DISTRICT 6	Mission	Market and Octavia / Downtown	120/400-R-2	C-3-G	DOWNTOWN- GENERAL	(37.77425927670, -122.41948599100)
