PROJECT_TYPE	APN	NAMEADDR	Alias	BESTDATE	BESTSTAT	Entitlement	PLN_CASENO	PLN_DESC	BP_APPLNO	BP_DESC	COST	PROPUSE	UNITS	NET_UNITS	AFF_UNITS	NET_AFF_UNITS	RET	NET_RET	MIPS	NET_MIPS	PDR	NET_PDR	MED	NET_MED	CIE	NET_CIE	VISIT	NET_VISIT	FirstFiled	APPLICANT	CONTACT	CONTACTPH	NEIGHBORHOOD	PLAN_AREA	PLAN_DISTRICT	SUPE_DISTRICT	HEIGHT_DISTRICT	ZONING	ZONING_DISTRICT	PLANNER	LOCATION
CIE	APN 4712008	1 ARDATH COURT (COMMUNITY CENTER)		12/17/2015	BP FILED	0	2015-003310PRJ	New construction of a community center to be located on an empty patch of land on the corner of Harbor Road and Ingalls Street.	201512175326	"ERECT 1-STORY, NO BASEMENT, TYPE 5-1, COMMUNITY CENTER.
** MAHER: N/A **"	$600000.00	RECREATION BLDG	0	0	0	0	0	0	0	0	0	0	0	0	5588	5588	0	0	11/17/2015	HB&A Architects	Hafsa Burt	415-702-1609	Bayview	Bayview Hunters Point	South Bayshore	SUPERVISORIAL DISTRICT 10	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	JDISALVO	(37.7342431939, -122.382430)
Resident	APN 6978069	1 EDGAR AV		05/08/2015	BP FILED	0			201505085755	CONSTRUCT (N) 3-STORY SINGLE FAMILY DWELLING UNIT	$300000.00	1 FAMILY DWELLING	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/08/2015				Ocean View		Ingleside	SUPERVISORIAL DISTRICT 11	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY		(37.7203939917, -122.452521)
Mixres	APN 0837003	1 FRANKLIN ST		03/28/2016	CONSTRUCTION	-1	2010.0102	Construct a new 8-story, 35-unit mixed-use building with ground-floor commercial.  See 2008.1328	200912032516	CONSTRUCTION OF 8-STORY 35 DWELLING UNITS W/RETAIL & PARKING.	$11000000.00		35	35	5	5	2384	2384	0	0	0	0	0	0	0	0	0	0	12/03/2009	John Ramsbacher	Warner Schmalz	415-252-7063	Downtown/Civic Center	Market and Octavia	Buena Vista	SUPERVISORIAL DISTRICT 5	85-X	NCT-3	MODERATE SCALE NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT	TFRYE	(37.7744289168, -122.421110)
Resident	APN 3911001	1 HENRY ADAMS ST		03/17/2016	CONSTRUCTION	-1	2012.0701	Demolish an existing building (Concourse Exhibit Hall) containing 125,000 square feet of space and 280 surface parking spaces and construct new buildings extending up to 70 feet in height and containing 560 dwellings, 438 off-street parking space, and 8,	201306250394	Multiple Permits	$45000000.00	APARTMENTS	560	560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/31/2012	Robert Meyers	Robert Meyers	415-788-2777	South of Market	Showplace Square/Potrero Hill (EN)	South of Market	SUPERVISORIAL DISTRICT 10	68-X	UMU	URBAN MIXED USE	DSIDER	(37.7692014331, -122.403473)
Resident	APN 6525001A	1 HORACE ST		09/24/2014	BP FILED	0	2014.1301	Variance request to the rear yard requirement to permit the new construction of an additional dwelling unit.	201409247165	CONSTRUCT (N) 3-STORY SINGLE FAMILY RESIDENCE.	$550000.00	1 FAMILY DWELLING	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	08/22/2014	Chris Giouzelis	Yakuh Askew	415-920-1839	Mission	Mission (EN)	Mission	SUPERVISORIAL DISTRICT 9	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY		(37.7507228458, -122.414398)
Mixres	APN 1084001B	1 STANYAN ST		10/22/2015	BP APPROVED	-1	2007.0113	The proposed project would demolish the existing gas station and construct a new 13-unit residential building with 1,700 sq. ft. of ground floor retail and 14 parking spaces. The building would be approx. 24,256 sq ft, four-stories, and 40 feet in height	200712140534	ERECT A NEW 4 STORIES, 13 UNITS MIXED USE BUILDING	$1950000.00		13	13	0	0	1700	1700	0	0	0	0	0	0	0	0	0	0	01/30/2007	John E. McInerney Esq.	Bruce Baumann	415 551-7884	Inner Richmond		Richmond	SUPERVISORIAL DISTRICT 1	40-X	NC-3	NEIGHBORHOOD COMMERCIAL, MODERATE SCALE	SVELLVE	(37.7810723620, -122.456522)
Resident	APN 3261002	10 APTOS AV		03/05/2012	BP FILED	0			201203055412	ERECT THREE STORY SINGLE FAMILY HOUSE.	$800000.00	1 FAMILY DWELLING	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	03/05/2012				West of Twin Peaks		Ingleside	SUPERVISORIAL DISTRICT 7	40-X	RH-1(D)	RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED		(37.7316033454, -122.466341)
Resident	APN 6800004	10 TINGLEY ST		07/09/2015	BP FILED	0			201507091034	Multiple Permits	$1086000.00	1 FAMILY DWELLING	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/09/2015				Outer Mission		South Central	SUPERVISORIAL DISTRICT 11	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY		(37.7285638384, -122.432103)
MIPS	APN 3808003	1000 07TH ST (BLDG 1 OF 3)	100 HOOPER ST	12/17/2015	BP ISSUED	-1	2012.0203		201410209377	CONSTRUCT (N) MERCANTILE/RETAIL/PDR BUILDING.	$52500000.00	OFFICE	0	0	0	0	0	0	284471	284471	142784	56252	0	0	0	0	0	0	10/23/2014				South of Market	Showplace Square/Potrero Hill (EN)	South of Market	SUPERVISORIAL DISTRICT 10	58-X	PDR-1-D	PRODUCTION, DISTRIBUTION & REPAIR - 1 - DESIGN	CTOWNES	(37.7686867795, -122.399391)
Mixed	APN 3808003	1000 07TH ST (BLDG 2 OF 3)	150 HOOPER ST	12/17/2015	BP ISSUED	-1	2012.0203		201410239755	CONSTRUCT (N) MERCANTILE/RETAIL/PDR BUILDING.	$7500000.00	RETAIL SALES	0	0	0	0	0	0	284471	284471	142784	56252	0	0	0	0	0	0	10/23/2014				South of Market	Showplace Square/Potrero Hill (EN)	South of Market	SUPERVISORIAL DISTRICT 10	58-X	PDR-1-D	PRODUCTION, DISTRIBUTION & REPAIR - 1 - DESIGN	CTOWNES	(37.7686867795, -122.399391)
Resident	APN 3987010	1001 17TH ST & 140 PENNSYLVANIA AV		08/06/2014	BP ISSUED	-1	2011.0187	The proposed project is the demolition of a two-story commercial warehouse and new construction of a five-story, 50-foot-tall, mixed-use building with 4,380 s.f. of ground-floor commercial, 44 residential units, and 33 off-street parking spaces. The proj	200408040564	ERECT A 5 STORIES 12 UNIT RESIDENTIAL BLDG	$750000.00	APARTMENTS	12	12	5	5	3510	3510	0	0	0	-11475	0	0	0	0	0	0	08/04/2004				Potrero Hill	Showplace Square/Potrero Hill (EN)	South of Market	SUPERVISORIAL DISTRICT 10	40-X	UMU	URBAN MIXED USE	CTEAGUE	(37.7647823807, -122.394109)
