APN	Entitlement	BESTSTAT	BESTDATE	NAMEADDR	Alias	PLN_CASENO	BP_APPLNO	UNITS	NET_UNITS	AFF_UNITS	NET_AFF_UNITS	SECTION415	TENURE_TYPE	COST	PROPUSE	TOTAL_GSF	NET_GSF	CIE	NET_CIE	MED	NET_MED	MIPS	NET_MIPS	PDR	NET_PDR	RET	NET_RET	VISIT	NET_VISIT	FirstFiled	PLN_DESC	BP_DESC	PLANNER	SPONSOR	SP_CONTACT	SP_CONTACTPH	NEIGHBORHOOD	PLAN_AREA	PLAN_DISTRICT	HEIGHT_DISTRICT	ZONING_SIM	ZONING_DISTRICT	SUPE_DISTRICT	Location
APN 4712008	0	BP FILED	12/17/2015	1 ARDATH COURT (COMMUNITY CENTER)		2015-003310PRJ	201512175326	0	0	0	0			$600000.00	RECREATION BLDG	5588	5588	5588	5588	0	0	0	0	0	0	0	0	0	0	11/17/2015	New construction of a community center to be located on an empty patch of land on the corner of Harbor Road and Ingalls Street.	"ERECT 1-STORY, NO BASEMENT, TYPE 5-1, COMMUNITY CENTER.
** MAHER: N/A **"	JDISALVO	PENDING	PENDING	PENDING	Bayview	Bayview Hunters Point	South Bayshore	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 10	(37.73424319390, -122.38243028700)
APN 6978069	0	BP FILED	05/08/2015	1 EDGAR AV			201505085755	1	1	0	0			$300000.00	1 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/08/2015		CONSTRUCT (N) 3-STORY SINGLE FAMILY DWELLING UNIT	FLORESVE				Ocean View		Ingleside	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	SUPERVISORIAL DISTRICT 11	(37.72039399170, -122.45252132300)
APN 0837003	1	CONSTRUCTION	06/16/2016	1 FRANKLIN ST		2010	200912032516	35	35	5	5	On-site BMR Project	Ownership	$10050000.00	APARTMENTS	2384	2384	0	0	0	0	0	0	0	0	2384	2384	0	0	12/03/2009	Construct a new 8-story, 35-unit mixed-use building with ground-floor commercial.  See 2008.1328	CONSTRUCTION OF 8-STORY 35 DWELLING UNITS W/RETAIL & PARKING.	TFRYE	Closed	Closed	Closed	Downtown/Civic Center	Market and Octavia	Buena Vista	85-X	NCT-3	MODERATE SCALE NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT	SUPERVISORIAL DISTRICT 5	(37.77442891680, -122.42111019300)
APN 3911001	1	CONSTRUCTION	04/07/2016	1 HENRY ADAMS ST		2012	201306250394	239	239	0	0	Land Dedication	Rental	$20000000.00	APARTMENTS	11770	11770	0	0	0	0	0	0	0	0	11770	11770	0	0	05/31/2012	Demolish an existing building (Concourse Exhibit Hall) containing 125,000 square feet of space and 280 surface parking spaces and construct new buildings extending up to 70 feet in height and containing 560 dwellings, 438 off-street parking space, and 8,	TO ERECT 6 STORIES, NO BASEMENT, 85 UNITS RESIDENTIAL WITH RETAIL & PARKING BUILDING.	DSIDER	Closed	Closed	Closed	South of Market	Showplace Square/Potrero Hill (EN)	South of Market	68-X	UMU	URBAN MIXED USE	SUPERVISORIAL DISTRICT 10	(37.76920143310, -122.40347298500)
APN 6525001A	0	BP FILED	09/24/2014	1 HORACE ST		2014	201409247165	2	1	0	0			$550000.00	1 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	08/22/2014	Variance request to the rear yard requirement to permit the new construction of an additional dwelling unit.	CONSTRUCT (N) 3-STORY SINGLE FAMILY RESIDENCE.	RSUCRE	UNDER REVIEW	UNDER REVIEW	UNDER REVIEW	Mission	Mission (EN)	Mission	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 9	(37.75072284580, -122.41439795200)
APN 5688040	0	BP FILED	05/12/2016	1 PUTNAM ST			201605127314	1	-1	0	0			$2000.00	1 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/12/2016		REMOV ILLEGAL UNIT TRIGGERS AVALOS LEGISLATION ORD 33-16 DWELLING UNIT CONSTRUCTED OR INSTALLED WITHOUT PERMIT (REVERT INTERIOR AT LOWER GARAGE LEVEL BACK TO LAST KNOWN LEGAL STATUS (DBI APP #2002-23-03-4390) NOV#201579415- REMOVAL OF ILLEGAL BEDRM BACK					Bernal Heights		Bernal Heights	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	SUPERVISORIAL DISTRICT 9	(37.73967022070, -122.41059708400)
APN 1084001B	1	BP ISSUED	06/15/2016	1 STANYAN ST		2007	200712140534	13	13	0	0	Fee Payment		$6000000.00	APARTMENTS	1700	-5810	0	0	0	0	0	0	0	0	1700	-5810	0	0	01/30/2007	The proposed project would demolish the existing gas station and construct a new 13-unit residential building with 1,700 sq. ft. of ground floor retail and 14 parking spaces. The building would be approx. 24,256 sq ft, four-stories, and 40 feet in height	TO ERECT 4 STORIES, NO BASEMENT, 13 UNITS RESIDENTIAL WITH RETAIL & PARKING BUILDING.	SVELLVE	Closed	Closed	Closed	Inner Richmond		Richmond	40-X	NC-3	NEIGHBORHOOD COMMERCIAL, MODERATE SCALE	SUPERVISORIAL DISTRICT 1	(37.78107236200, -122.45652162400)
APN 0086012	0	BP FILED	04/25/2016	1 TELEGRAPH HILL BL		2016-006762PRJ	201604255639	0	0	0	0			$10000.00	FOOD/BEVERAGE HNDLNG	135	-865	0	0	0	0	0	0	0	0	135	-865	0	0	04/25/2016		(REAR BUILDING) TO ERECT 1 STORY, NO BASEMENT, LIMITED RESTAURANT.	LAVALLEY	Application Accepted	Application Accepted	Application Accepted	North Beach		Northeast	OS	P	PUBLIC	SUPERVISORIAL DISTRICT 3	(37.80227941540, -122.40584549500)
APN 3506004	0	PL FILED	04/11/2016	10 SOUTH VAN NESS AV		2015-004568PRJ		855	855	0	0			$0.00		28100	-71900	0	0	0	0	0	0	0	0	28100	-71900	0	0	04/14/2015	New high-rise, mixed-use construction consisting of studio, 1-bedroom, 2-bedroom and 3-bedroom residential units, associated amenity spaces, and retail spaces at the ground floor.  Proposed project entails two 400' towers over a 120' podium building, wit		VBYRD	UNDER REVIEW	UNDER REVIEW	UNDER REVIEW	South of Market	Market and Octavia; Downtown	Mission	120/400-R-2	C-3-G	DOWNTOWN- GENERAL	SUPERVISORIAL DISTRICT 6	(37.77425927670, -122.41948599100)
APN 6800004	0	BP FILED	07/09/2015	10 TINGLEY ST			201507091034	2	2	0	0			$546000.00	1 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/09/2015		ERECT A THREE STORY SINGLE FAMILY DWELLING.	TRANNANC				Outer Mission		South Central	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	SUPERVISORIAL DISTRICT 11	(37.72856383840, -122.43210261800)
