PROJECT_TYPE	NAMEADDR	Alias	BESTSTAT	BESTDATE	Entitlement	PLN_CASENO	PLN_DESC	PROPUSE	BP_APPLNO	BP_DESC	UNITS	NET_UNITS	AFF_UNITS	NET_AFF_UNITS	SECTION415	TENURE_TYPE	TOTAL_GSF	NET_GSF	CIE	NET_CIE	MED	NET_MED	MIPS	NET_MIPS	PDR	NET_PDR	RET	NET_RET	VISIT	NET_VISIT	APPLICANT	CONTACT	CONTACTPH	COST	FirstFiled	PLANNER	APN	PLAN_AREA	PLN_DISTRICT	SUPE_DISTRICT	ZONING_SIM	ZONING_DISTRICT	ZONING_GEN	NEIGHBORHOOD	HEIGHT_DISTRICT	Location
Mixres	3140 16TH ST	3150 16TH ST	PL APPROVED	07/27/2016	1	2016-003233PRJ	Historic rehabilitation of an existing auto body shop to change use to ground floor retail with 4 units of residential within the existing building envelope.				4	4	0	0			8527	-11901	0	0	0	0	0	0	3123	-17305	5404	5404	0	0				$0.00	03/10/2016		APN 3555018	Mission (EN)	Mission	SUPERVISORIAL DISTRICT 8	NCT	VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT	Mixed Use	Mission	55-X	(37.76510622520, -122.42289112700)
Resident	1750 TAYLOR ST		PL APPROVED	06/02/2016	1	2015-007396PRJ	Dwelling unit merger combining two residential units into one legal unit.  (units #804 & #805).	APARTMENTS	201506239654	UNIT MERGER ONLY. COMBINE UNIT 804 AND 805. DRM# 2015-007396. REMOVE (E) DOOR & WALL DIVIDING UNITS INTERIOR RENOVATION FOR NEW HALL, ENTRY FOYER, BUTLER PANTRY, CLOSETS MATCH (E) FINISHES.	1	-1	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$20000.00	06/11/2015		APN 0128C028		Northeast	SUPERVISORIAL DISTRICT 3	RM-2	RESIDENTIAL- MIXED, MODERATE DENSITY	Residential	Russian Hill	40-X	(37.79872004170, -122.41303175700)
Resident	824 HYDE ST		PL APPROVED	03/24/2016	1	2012	Construct a 15-unit residential building.				15	15	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$0.00	11/16/2012		APN 0280017		Downtown	SUPERVISORIAL DISTRICT 3	RC-4	RESIDENTIAL- COMMERCIAL, HIGH DENSITY	Mixed Use	Downtown/Civic Center	80-A	(37.78857856960, -122.41659181800)
Resident	930 BAKER ST		PL APPROVED	08/17/2016	1	2014	Project will expand the existing building at the front and rear of the property, excavating two stories below the existing structure and providing a detached two car garage fronting onto St. Joseph's Avenue. The project will also result in two new units,	APARTMENTS	201510230679	HORIZONTL EXPANSION. ADDITION OF 2 UNITS BELOW (E) STRUCTURE & EXPANSION RECONFIGURE INTERIOR LAYOUTS, NEW WINDOWS & DOORS ATFACADE, NEW ELECTRIAL, NEW PLUMBING, NEW ROOF DECK, LANDSCAPING, NEW GARAGE STRUCTURE @ ST JOESPH'S AVE SIDE.	4	2	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$495000.00	03/19/2014		APN 0280017		Downtown	SUPERVISORIAL DISTRICT 3	RC-4	RESIDENTIAL- COMMERCIAL, HIGH DENSITY	Mixed Use	Downtown/Civic Center	80-A	(37.78857856960, -122.41659181800)
Resident	802-808 STEINER ST		PL APPROVED	03/24/2016	1	2014	Construction of three new four-story residential buildings containing a total of eight dwelling units (19,071 sf) over one level of below-grade parking (16 spaces).	1 FAMILY DWELLING	201109144613	"TO ERECT 4 STORIES, 3 UNIT RESIDENTIAL BUILDING. AS ""802 STEINER STREET, BLOCK 0798, LOT 057"""	16	16	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$1388000.00	09/14/2011		APN 0798055		Western Addition	SUPERVISORIAL DISTRICT 5	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	Residential	Western Addition	40-X	(37.77702988980, -122.43278608400)
Resident	1211 SCOTT ST		BP FILED	09/15/2015	1	2015-012514PRJ	ADDITION OF ONE ACCESSORY DWELLING UNIT AT THE GROUND FLOOR PER ORDINANCE 30-15, MISCELLANEOUS DECAY & WATER DAMAGE REPAIR, WATERPROOF (E) DECKS & FRONT STAIRCASE. SOFT STORY RETROFIT PERMIT #201509156939.	APARTMENTS	201509156948	NEW APARTMENT ADDITION IN COMPLIANCE WITH ORDINANCE 30-15, MISCELLANEOUS DECAY & WATER DAMAGE REPAIR, WATERPROOF (E) DECKS & FRONT STAIRCASE. SOFT STORY RETROFIT PERMIT #201509156939	3	1	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$80000.00	09/15/2015	NKWIATKO	APN 1127003		Western Addition	SUPERVISORIAL DISTRICT 5	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	Residential	Western Addition	65-A	(37.78119601380, -122.43765994400)
Resident	1212 EGBERT AV		BP FILED	12/31/2013	0			1 FAMILY DWELLING	201312315375	COMPLIANCE WITH ORDINANCE NO. 155-13 NOT REQUIRED. EXCAVATION<50 CU.YD. ERECT 2 STORIES ONE SINGLE FAMILY DWELLING.	2	2	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$325000.00	12/31/2013	CTOWNES	APN 4909003	Bayview Hunters Point	South Bayshore	SUPERVISORIAL DISTRICT 10	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	Residential	Bayview	40-X	(37.72091634250, -122.38900562300)
Resident	1221 14TH AV		CONSTRUCTION	06/14/2016	1			APARTMENTS	201505146405	LEGALIZATION OF DWELLING UNIT OF 598 SQ. FT. AT GROUND FLOOR LEVEL, 2 BEDROOM, LIVING ROOM, KITCHEN AND BATHROOM (UNIT LEGALIZATION ORDINANCE 43-14)	3	1	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$55614.00	05/14/2015	NKWIATKO	APN 1736061		Inner Sunset	SUPERVISORIAL DISTRICT 5	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	Inner Sunset	40-X	(37.76523580510, -122.47210972000)
Resident	1225 ATHENS ST		BP ISSUED	12/14/2015	1			2 FAMILY DWELLING	201506189331	LEGALIZE (E) UNPERMITTED GROUND FLOOR AREA TO A NEW UNIT INCLUDING 2 BEDROOMS, ONE FULL BATH, ONE KITCHEN AND LIVING ROOM.	2	1	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$78000.00	06/18/2015	CLARKECO	APN 6447040		South Central	SUPERVISORIAL DISTRICT 11	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	Residential	Crocker Amazon	40-X	(37.71194697740, -122.43637918900)
Resident	1225 DOLORES ST		BP ISSUED	04/03/2015	1			APARTMENTS	200703307744	TO ERECT 4 STORIES, SINGLE FAMILY DWELLING.	3	3	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				$928000.00	03/30/2007	MSMITH	APN 6534029		Mission	SUPERVISORIAL DISTRICT 8	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	Residential	Mission	40-X	(37.74983703170, -122.42453984900)
