APN	BESTSTAT	BESTDATE	NAMEADDR	Alias	UNITS	NET_UNITS	AFF_UNITS	NET_AFF_UNITS	SECTION415	TENURE_TYPE	PLN_CASENO	BP_APPLNO	PROPUSE	COST	BP_DESC	PLN_DESC	PROJECT_TYPE	ENTITLEMENT	TOTAL_GSF	NET_GSF	CIE	NET_CIE	MED	NET_MED	MIPS	NET_MIPS	PDR	NET_PDR	RET	NET_RET	VISIT	NET_VISIT	APPLICANT	CONTACT	CONTACTPHONE	FirstFiled	PLANNER	PLAN_AREA	PUBLICREALM	STATUS	PLAN_DISTRICT	SUPE_DISTRICT	ZONING_SIM	ZONING_DISTRICT	ZONING_GEN	ZONING	HEIGHT_DISTRICT	NEIGHBORHOOD	Location
APN 5675006	BP FILED	12/16/2016	142 CORTLAND AV		3	2	0	0				201612165233	APARTMENTS	$130000.00	ADU PER ORDINANCE NO. 162-16		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				12/16/2016					Bernal Heights	SUPERVISORIAL DISTRICT 9	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	RH-2	40-X	Bernal Heights	(37.73972095680, -122.42023170000)
APN 0302021	PL FILED	12/09/2016	955 POST ST		94	94	0	0			2015-015950PRJ			$0.00			Mixres	0	7700	-8300	0	0	0	0	0	-3000	0	-13000	7700	7700	0	0				06/10/2016					Downtown	SUPERVISORIAL DISTRICT 6	RC-4	RESIDENTIAL- COMMERCIAL, HIGH DENSITY	Mixed Use	RC-4	80-T	Downtown/Civic Center	(37.78683277040, -122.41763739600)
APN 0756018	BP ISSUED	04/20/2016	1301 TURK ST		1	1	0	0				201506199453	SFPD OR SFFD STATION	$13000000.00	ERECT A THREE STORY FIRE STATION AND ONE FAMILY DWELLING MIX USE BUILDING.		Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				06/19/2015	BBENDIX	A-2			Western Addition	SUPERVISORIAL DISTRICT 5	P	PUBLIC	Public	P	50-X	Western Addition	(37.78038943320, -122.43072791800)
APN 1219008	BP ISSUED	05/31/2011	1122 PAGE ST		4	1	0	0			2010	201003037492	APARTMENTS	$150000.00	Construct new dwellin unit at ground floor. Renovate building interior, reconfigure dwelling units ON 2 & 3. REFER TO PRE-APPLICATION MINUTES.	ADD 1 ADDITIONAL UNIT.  4 UNITS TOTAL.	Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Troy Kashanipour	Troy Kashanipour	415.431.0869	02/23/2010	GCABRERO				Buena Vista	SUPERVISORIAL DISTRICT 5	RM-2	RESIDENTIAL- MIXED, MODERATE DENSITY	Residential	RM-2	40-X	Haight Ashbury	(37.77216542190, -122.43936507200)
APN 6173005	BP REINSTATED	01/14/2014	1123 GIRARD ST		1	1	0	0			2009	200907072084	1 FAMILY DWELLING	$480000.00	ERECT A 3 STORIES, SINGLE FAMILY DWELLING.		Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				07/07/2009	CTEAGUE	Visitacion Valley			South Central	SUPERVISORIAL DISTRICT 10	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	Residential	RM-1	40-X	Visitacion Valley	(37.71867696190, -122.40065391600)
APN 3702047	PL FILED	12/18/2013	1125 MARKET ST		164	164	0	0			2013			$18000000.00		Construction of a 12-story,100,422 sf bldg containing 164 dwelling units, 3,005 sf of ground-floor retail, and 47 parking spaces.	Mixres	0	3005	3005	0	0	0	0	0	0	0	0	3005	3005	0	0	Maritz Pr	Patri Mer	415.284.1	04/24/2013	TBLOMGRE	Mid-Market; Downtown			Downtown	SUPERVISORIAL DISTRICT 6	C-3-G	DOWNTOWN- GENERAL	Commercial	C-3-G	120-X	South of Market	(37.77975627180, -122.41273619900)
APN 3727091	BP ISSUED	06/08/2016	1125 MISSION ST		0	0	0	0			2014-002628PRJ	201511021472	OFFICE	$350000.00	CHANGE OF USE FROM (E) S-2 PARKING & STORAGE BUILDING TO A B-OFFICE BUILDING, SCOPE INCLUDES CONSTRUCTION OF (N) MEZZANINE & STAIRS, (N) STORE FRONT GLAZING, (N) WINDOW REPLACEMENT OF (E) WINDOWS AND SIDEWALK IMPROVEMENT. N/A ORDINANCE# 155-13	Office Allocation to change use from automotive vehicle repair and garage to a general office space.	MIPS	1	37944	0	0	0	0	0	37944	37944	0	-37944	0	0	0	0	Reuben, Junius & Rose LLP		4155679000	01/15/2015	RSUCRE	Mid-Market; East SoMa (EN); Eastern Neighborhoods (Complete); South of Market			Downtown	SUPERVISORIAL DISTRICT 6	MUO	MIXED USE-OFFICE	Mixed Use	MUO	65-X	South of Market	(37.77848224170, -122.41125992300)
APN 3727014	BP ISSUED	07/21/2016	1126 - 1130 HOWARD ST		0	0	0	0			2014-003270PRJ	201603152086	FOOD/BEVERAGE HNDLNG	$1100000.00	CHANGE OF USE, TI TO 1ST&2ND FL FOR CONVERSION TO OFFICE USE INCLUDE NEW INTER FINISHES,FIXTURES,EQUIP,PRIVATE OFFICES,CONFERENCE RMS,TRAING OPEN OFFICE,STAFF KITCHEN AREAS,NEW LITEING,HVAC SYS.WORK IN ADDITON TO 201407032538, 201505207576, 201411192030	Change of use from vacant retail to office within a historic building.	MIPS	1	18819	0	0	0	0	0	18819	18819	0	0	0	-18819	0	0				12/31/2014	RSUCRE	Western SoMa (EN); Eastern Neighborhoods (Complete); South of Market			Downtown	SUPERVISORIAL DISTRICT 6	RED	SOUTH OF MARKET RESIDENTIAL ENCLAVE	Residential	RED	40-X	South of Market	(37.77765555620, -122.41040154800)
APN 4172028	BP FILED	09/18/2015	1133 TENNESSEE ST		3	1	0	0			2015-012830PRJ	201509187456	APARTMENTS	$400000.00	NEW HORIZONTAL ADDITION AT REAR OF (E) 3 STORY BLDG, REMODEL + EXPANSION OF 2 (E) TOP FLOOR UNITS, & RENOVATION OF (E) GARAGE & ADDITION OF (N) 1 BEDROOM DWELLING UNIT, 2 (E) TOP UNITS HAVE 1 REMODELED KITCHEN & 1 REMODELED BATH, PLUS 1.5 BATHS EACH. NEW		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				09/18/2015	RSUCRE	Eastern Neighborhoods w/Valencia; Central Waterfront (EN); Eastern Neighborhoods (Complete); Dogpatch Public Realm Plan	Y	In Progress	South of Market	SUPERVISORIAL DISTRICT 10	NCT-2	NEIGHBORHOOD COMMERCIAL TRANSIT-2	Mixed Use	NCT-2	40-X	Potrero Hill	(37.75723293780, -122.38887559300)
APN 0669008	BP FILED	10/27/2016	1138 SUTTER ST		47	0	0	0			2016-014683PRJ	201610271282	FOOD/BEVERAGE HNDLNG	$150000.00	CHANGE OF USE FROM OFFICE TO LIMITED SERVICE RESTAURANT. PARTIAL REMODEL OF THE TENANT SPACE ON GROUND LEVEL OF AN EXISTING FIVE-STORY BUILDING. THIS PROJECT CREATES A NEW LIMITED RESTAURANT AND NEW COMMERCIAL KITCHE AREA. N/A FOR MAHER ORDINANCE NO.155-		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				10/27/2016					Downtown	SUPERVISORIAL DISTRICT 3	NCD	POLK STREET NEIGHBORHOOD COMMERCIAL	Mixed Use	NCD-POLK	65-A	Downtown/Civic Center	(37.78813187130, -122.41922818400)
APN 0105065	BP ISSUED	08/10/2016	115 TELEGRAPH HILL BL		3	3	0	0			2015-006908PRJ	201505227051	APARTMENTS	$4750000.00	TO ERECT 3 STORIES, 2 BASEMENTS, TYPE I/V B,  3 UNITS RESIDENTIAL BUILDING.		Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				05/22/2015	ASBAGHCL				Northeast	SUPERVISORIAL DISTRICT 3	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	Residential	RH-3	40-X	North Beach	(37.80160159210, -122.40575006300)
APN 8711026	BP FILED	12/21/2016	1150 03RD ST	Mission Bay South 3 East	119	119	0	0				201612215523	APARTMENTS	$45000000.00	CONSTRUCT (N)(5)STORY MULTIFAMILY AFFORDABLE HOUSING, OFFICES, GARAGE & COMMUNITY ROOM		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				12/21/2016		Mission Bay			South of Market	SUPERVISORIAL DISTRICT 6	MB-RA	SEE MISSION BAY SOUTH REDEVELOPMENT PLAN	Mixed Use	MB-RA	MB-RA	South of Market	(37.77330150970, -122.39023807400)
APN 4211011	PL FILED	12/16/2015	1152 POTRERO AV		3	2	0	0			2015-002632PRJ	201502249220	APARTMENTS	$950000.00	HORIZONTAL & VERTICAL ADDITION TO EXISTING SINGLE HOME TO 3 UNIT APARTMENT BUILDING AND TWO CAR GARAGE.		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				02/24/2015	JSPEIRS	Mission (EN); Eastern Neighborhoods w/Valencia; Eastern Neighborhoods (Complete); Mission District Streetscape Plan		Adopted	Mission	SUPERVISORIAL DISTRICT 9	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	Residential	RH-3	55-X	Mission	"Y
(37.75370945060, -122.40674426100)"
APN 6571017	BP FILED	05/31/2016	1153 CAPP ST		2	1	0	0				201605318684	2 FAMILY DWELLING	$300.00	TO LEGALIZATION OF DWELLING UNITS PER ORDINANCE 43-14. ADD STOVE & ASSOCIATED PIPING TO LEGALIZE IN LAW.		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				05/31/2016	CAMPBELL	Mission (EN); Eastern Neighborhoods w/Valencia; Eastern Neighborhoods (Complete); Mission District Streetscape Plan		Adopted	Mission	SUPERVISORIAL DISTRICT 9	NCT	MISSION STREET NEIGHBORHOOD COMMERCIAL TRANSIT	Mixed Use	NCT-MISSION	55-X	Mission	"Y
(37.74842537300, -122.41729503700)"
APN 5618007	BP ISSUED	08/02/2016	116 ELSIE ST		1	1	0	0				201411191947	1 FAMILY DWELLING	$687500.00	TO ERECT 4 STORIES, NO BASEMENT, SINGLE FAMILY RESIDENCE.		Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				11/19/2014	MPUTRA				Bernal Heights	SUPERVISORIAL DISTRICT 9	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	Residential	RH-1	40-X	Bernal Heights	(37.74282279710, -122.41789962600)
APN 5643035	CONSTRUCTION	12/16/2016	116 VIRGINIA AV		2	1	0	0			2016-008517PRL	201606291163	2 FAMILY DWELLING	$200000.00	INTERIOR BUILD OUT OF DWELLING UNIT AT GROUND FLOOR - KITCHEN & BATHROOM REMODEL, ADD BATHROOM AT UPPER UNIT	the project proposes a change of use from a single family dwelling to a two family dwelling. Please note there is no change to the building's envelope - slight changes to the rear fa├ºade only. All work is interior. Please note this is an approval for a	Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				06/29/2016	EOROPEZA				Bernal Heights	SUPERVISORIAL DISTRICT 9	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	RH-2	40-X	Bernal Heights	(37.74227561330, -122.41989370600)
APN 0252011	BP FILED	02/04/2015	1160 PINE ST		18	3	0	0			2015-001806PRJ	201502047491	APARTMENTS	$80000.00	INSTALLATION OF (3) NEW RESIDENTIAL UNITS FOR A TOTAL OF (18) UNITS.	INSTALLATION OF (3) NEW RESIDENTIAL UNITS FOR A TOTAL OF (18) UNITS.	Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		CITY RING 1 LLC		02/04/2015	CGROB				Northeast	SUPERVISORIAL DISTRICT 3	RM-4	RESIDENTIAL- MIXED, HIGH DENSITY	Residential	RM-4	65-A	Nob Hill	(37.79061672670, -122.41494618600)
APN 4757047	BP FILED	10/28/2014	1167 PALOU AV		2	1	0	0				201410280026	2 FAMILY DWELLING	$57944.00	LEGALIZE IN LAW UNIT AT 1ST FLOOR PER ORINANCE 43-14. (1 BEDROOM, 1 BATHROOM, KITCHEN, LIVING, AND OFFICE)		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				10/28/2014	NFOSTER	Bayview Hunters Point			South Bayshore	SUPERVISORIAL DISTRICT 10	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	Residential	RH-1	40-X	Bayview	(37.72918618010, -122.38299497600)
APN 2630017	BP ISSUED	09/25/2013	1167 STANYAN ST		1	1	0	0			2008	200803288274	1 FAMILY DWELLING	$848879.00	TO ERECT SINGLE FAMILY DWELLING		Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				03/28/2008	GCABRERO				Inner Sunset	SUPERVISORIAL DISTRICT 5	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	RH-2	40-X	Inner Sunset	(37.76294430920, -122.45256816300)
APN 2630018	BP ISSUED	09/25/2013	1169 STANYAN ST		2	2	0	0				200803288288	2 FAMILY DWELLING	$944647.00	New construction of two residential units, 3 STORIES.		Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				03/28/2008	GCABRERO				Inner Sunset	SUPERVISORIAL DISTRICT 5	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	RH-2	40-X	Inner Sunset	(37.76287312270, -122.45255312400)
APN 3755029	BP FILED	08/11/2016	1170 HARRISON ST		0	0	0	0			2015-016239PRJ	201608114745	OFFICE	$2500000.00	SITE PERMIT FOR CHANGE OF USE FROM PDR TO OFFICE, ADDITION OF NEW SECOND LEVEL OFFICE WITHIN(E) HISTORIC BUILDING STRUCTURE. MECHANICAL, ELECTRICAL, PLUMBING, LIFE SAFETY AND FIRE SPRINKLERS TO BE SUBMITTED UNDER SEPARATE PERMITS. N/A FOR MAHER ORDINANCE		MIPS	0	19025	19025	0	0	0	0	19025	19025	0	0	0	0	0	0				03/11/2016	VBYRD	Western SoMa (EN); Eastern Neighborhoods (Complete); South of Market			South of Market	SUPERVISORIAL DISTRICT 6	WMUG	WSOMA MIXED USE-GENERAL	Mixed Use	WMUG	55-X	South of Market	(37.77439854360, -122.40813195600)
APN 3730023	BP ISSUED	07/18/2016	1174 - 1178 FOLSOM ST		42	42	0	0			2012	201508265383	APARTMENTS	$8300000.00	ERECT 6-STORY, 1 BASEMENT FOR 42 DWELLING UNITS, RETAIL AND OFFICE BUILDING. TYPE 3-A CONSTRUCTION. MAHER ORDINANCE IS COMPLY.	The proposed project would involve merging two existing lots, demolition of two existing two-story structures, and the constuction of new 6 story, 65' tall building with basement parking. The proposed project would include retail on the first floor, offi	Mixres	1	9888	288	0	0	0	0	5908	5908	0	-9600	3980	3980	0	0	Erik Liu	Erik Liu	314-8700	12/19/2012	JKUGLER	Western SoMa (EN); Eastern Neighborhoods (Complete); South of Market			South of Market	SUPERVISORIAL DISTRICT 6	NCT	FOLSOM STREET NEIGHBORHOOD COMMERCIAL TRANSIT	Mixed Use	NCT-FOLSOM	65-X	South of Market	(37.77571411710, -122.40974319500)
APN 6522027	PL FILED	11/08/2016	1179 Treat Avenue		0	0	0	0			2016-002426PRJ			$0.00		Lot subdivision to permit the conversion of a garage within the rear yard to a residential use.	Vacant	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bary Bell & Associates		4159025400	11/08/2016	MCHRISTE	Mission (EN); Eastern Neighborhoods w/Valencia; Eastern Neighborhoods (Complete); Mission District Streetscape Plan		Adopted	Mission	SUPERVISORIAL DISTRICT 9	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	RH-2	40-X	Mission	"Y
(37.75143651370, -122.41258374900)"
APN 1729007	BP FILED	04/16/2014	1239 21ST AV		2	1	0	0				201404163343	1 FAMILY DWELLING	$220000.00	HORIZONTAL ADDITION & REMODEL ENTIRE HOUSE. WOODFRAME, SIDING, ELECTRIC, PLUMBING, CONCRETE FOUNDATION.		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				04/16/2014					Outer Sunset	SUPERVISORIAL DISTRICT 4	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	RH-2	40-X	Outer Sunset	(37.76455979990, -122.47967199400)
APN 3636027	CONSTRUCTION	12/19/2016	1181 VALENCIA ST		3	1	0	0				201403100278	APARTMENTS	$78000.00	REMODEL & LEGALIZE RESIDENTIAL 3RD UNIT AT THE GROUND FLOOR. COMPLIANCE WITH ORDINANCE NO. 155-13 NOT REQUIRED. Sprinklers (NFPA-13R for unit, NFPA-13 for garage) on deferred submittal.		Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				03/10/2014	EJACKSON	Mission (EN); Eastern Neighborhoods w/Valencia; Eastern Neighborhoods (Complete); Mission District Streetscape Plan		Adopted	Mission	SUPERVISORIAL DISTRICT 9	NCT	VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT	Mixed Use	NCT-VALENCIA	55-X	Mission	"Y
(37.75406554410, -122.42048735500)"
APN 4757014	BP FILED	11/10/2015	1187 PALOU AV		2	1	0	0				201511102336	2 FAMILY DWELLING	$5000.00	LEGALIZE GROUND FLOOR KITCHEN TO ADD (1)(N) RESIDENTIAL UNIT UNDER UNIT LEGALIZATION PROGRAM. REMOVE ILLEGAL KITCHEN IN THE 2ND FL PER PLAN. COMPLY WITH NOV #201569102, NOV #201569673, NOV #201567632.		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				11/10/2015	YEUNGMIN	Bayview Hunters Point			South Bayshore	SUPERVISORIAL DISTRICT 10	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	Residential	RH-1	40-X	Bayview	(37.72938577590, -122.38334664700)
APN 3726103	BP ISSUED	05/11/2015	119 07TH ST		39	39	0	0	Fee Payment		2012	201406249298	APARTMENTS	$17237620.00	ERECT NEW MIXED-USED 8 STORY 39 RESIDENTIAL UNITS APARTMENT/PARKING LOT. MAHER ORDINANE IS NOT REQUIRED.	A new 8-story residential development consisting of 48 dwelling units, 1 level of below-grade parking with 15 spaces, and 2,795 sf of ground floor retail.	Mixres	1	1974	-30426	0	0	0	0	0	0	0	0	1974	1974	0	-32400	Nicole Belcore	Andrew J. Junius	415 567-9000	05/23/2012	RSUCRE	Eastern Neighborhoods w/Valencia; East SoMa (EN); Eastern Neighborhoods (Complete); South of Market			Downtown	SUPERVISORIAL DISTRICT 6	MUG	MIXED USE-GENERAL	Mixed Use	MUG	85-X	South of Market	(37.77907286930, -122.41031238100)
