PROJECT_TYPE	APN	NAMEADDR	PHASE	ALIAS	ENTITLEMENT	BESTSTAT	BESTDATE	UNITS	NET_UNITS	AFF_UNITS	NET_AFF_UNITS	SECTION415	TENURE_TYPE	DA	PLN_CASENO	PLN_DESC	BP_APPLNO	BP_DESC	COST	PROPUSE	TOTAL_GSF	NET_GSF	CIE	NET_CIE	MED	NET_MED	MIPS	NET_MIPS	PDR	NET_PDR	RET	NET_RET	VISIT	NET_VISIT	PLANNER	APPLICANT	CONTACT	CONTACTPH	NEIGHBORHOOD	ZONING_SIM	ZONING_GEN	ZONING_DISTRICT	HEIGHT_DISTRICT	SUPE_DISTRICT	PLAN_DISTRICT	PLAN_AREA	PUBLICREALM	STATUS	Location
Resident	APN 4938026A	1115 FITZGERALD AV			0	BP FILED	10/19/2016	2	1	0	0						201610190658	LEGALIZATION OF DWELLING UNIT INSTALLED WITHOUT A PERMIT PER ORDINANCE #43-14. TO COMPLY N.O.V#20615441.	$8000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	JIMENEZS				Bayview	RH-1	Residential	RESIDENTIAL- HOUSE, ONE FAMILY	40-X	SUPERVISORIAL DISTRICT 10	South Bayshore	Bayview Hunters Point			(37.71990953910, -122.38996434700)
Resident	APN 3730118	1117 HOWARD ST			1	CONSTRUCTION	03/24/2017	1	1	0	0						201401307462	"CHANGE OF USE. COMPLY W/ NOV 201279657, DEMO INTERIOR, CONSTRUCT 2 BEDROOMS, 1-1/2 BATHS, MEDIA ROOM, KITCHEN, NEW FRONT DOOR ENTRY OFF OF HOWARD ST.
** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 NOT REQUIRED **"	$495000.00	1 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	JSPEIRS				South of Market	WMUG	Mixed Use	WSOMA MIXED USE-GENERAL	55-X	SUPERVISORIAL DISTRICT 6	South of Market	Western SoMa (EN); Eastern Neighborhoods (Complete); South of Market			(37.77748651020, -122.40955757600)
Resident	APN 1371039	112 12TH AV			1	CONSTRUCTION	03/07/2017	2	1	0	0						201407292390	RELOCATE (E) LAUNDRY FIXTURES TO GARAGE. CONVERT (E) LAUNDRY TO NEW KITCHEN & CONVERT GROUND FLOOR TO A LEGAL DWELLING UNIT UNDER ORDINANCE NO# 43-14.	$19000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	KCONNER				Inner Richmond	RH-2	Residential	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	SUPERVISORIAL DISTRICT 1	Richmond				(37.78591097540, -122.47074960400)
Resident	APN 2713001D	112 YUKON ST			0	BP FILED	08/09/2016	2	1	0	0						201608094515	VERTICAL ADDITION. NEW 3/FL WITH 2 NEW BEDROOMS & A STUDY, 2 NEW BATHROOMS & A LAUNDRY ROOM. NEW INTERIOR STAIRS CONNECTING ALL FLOORS. NEW WINDOWS & DOORS AND A STRUCTURAL SEISMIC UPGRADE AS REQUIRED.	$240000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CTOWNES				Castro/Upper Market	RH-2	Residential	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	SUPERVISORIAL DISTRICT 8	Central				(37.75784916940, -122.44246406000)
Resident	APN 5971029	1121 FELTON ST			1	CONSTRUCTION	12/07/2016	2	1	0	0				2015-009923PRJ	Approved 1/15/2016, per NSR #2016K187107 recorded on 1/13/2016, to legalize a second dwelling unit at the ground floor of an existing single-family two-story residential dwelling, per Section 207.3 (Ord #43-14). The project also includes a new second flo	201507232260	LEGALIZE AS-BUILT WITH ON 1ST FLOOR PER PLAN. CONSIST OF 1 BEDROOM, KITCHEN, FAMILY ROOM, BATHROOM, POWDER & STORAGE.	$46000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CLARKECO		LIANG JIAN QING & JIANG ANDY ZHI CA		Excelsior	RH-1	Residential	RESIDENTIAL- HOUSE, ONE FAMILY	40-X	SUPERVISORIAL DISTRICT 9	South Central				(37.72686011410, -122.41584808300)
Resident	APN 1219008	1122 PAGE ST			1	BP ISSUED	05/31/2011	4	1	0	0				2010	ADD 1 ADDITIONAL UNIT.  4 UNITS TOTAL.	201003037492	Construct new dwellin unit at ground floor. Renovate building interior, reconfigure dwelling units ON 2 & 3. REFER TO PRE-APPLICATION MINUTES.	$150000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GCABRERO	Troy Kashanipour	Troy Kashanipour	415.431.0869	Haight Ashbury	RM-2	Residential	RESIDENTIAL- MIXED, MODERATE DENSITY	40-X	SUPERVISORIAL DISTRICT 5	Buena Vista				(37.77216542280, -122.43936507200)
Resident	APN 6173005	1123 GIRARD ST			1	BP REINSTATED	01/14/2014	1	1	0	0				2009	open space variance (new dwelling unit)	200907072084	ERECT A 3 STORIES, SINGLE FAMILY DWELLING.	$480000.00	1 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CTEAGUE				Visitacion Valley	RM-1	Residential	RESIDENTIAL- MIXED, LOW DENSITY	40-X	SUPERVISORIAL DISTRICT 10	South Central	Visitacion Valley			(37.71867696100, -122.40065391400)
Mixres	APN 3702047	1125 MARKET ST			0	PL FILED	12/18/2013	164	164	0	0				2013	Construction of a 12-story,100,422 sf bldg containing 164 dwelling units, 3,005 sf of ground-floor retail, and 47 parking spaces.			$18000000.00		3005	3005	0	0	0	0	0	0	0	0	3005	3005	0	0	TBLOMGRE	Maritz Pr	Patri Mer	415.284.1	South of Market	C-3-G	Commercial	DOWNTOWN- GENERAL	120-X	SUPERVISORIAL DISTRICT 6	Downtown	Mid-Market; Downtown			(37.77975627180, -122.41273619800)
MIPS	APN 3727091	1125 MISSION ST			1	BP ISSUED	06/08/2016	0	0	0	0				2014-002628PRJ	Office Allocation to change use from automotive vehicle repair and garage to a general office space.	201511021472	CHANGE OF USE FROM (E) S-2 PARKING & STORAGE BUILDING TO A B-OFFICE BUILDING, SCOPE INCLUDES CONSTRUCTION OF (N) MEZZANINE & STAIRS, (N) STORE FRONT GLAZING, (N) WINDOW REPLACEMENT OF (E) WINDOWS AND SIDEWALK IMPROVEMENT. N/A ORDINANCE# 155-13	$350000.00	OFFICE	37944	0	0	0	0	0	37944	37944	0	-37944	0	0	0	0	RSUCRE	Reuben, Junius & Rose LLP		4155679000	South of Market	MUO	Mixed Use	MIXED USE-OFFICE	65-X	SUPERVISORIAL DISTRICT 6	Downtown	Mid-Market; East SoMa (EN); Eastern Neighborhoods (Complete); South of Market			(37.77848224270, -122.41125992100)
MIPS	APN 3727014	1126 - 1130 HOWARD ST			1	BP ISSUED	07/21/2016	0	0	0	0				2014-003270PRJ	Change of use from vacant retail to office within a historic building.	201603152086	CHANGE OF USE, TI TO 1ST&2ND FL FOR CONVERSION TO OFFICE USE INCLUDE NEW INTER FINISHES,FIXTURES,EQUIP,PRIVATE OFFICES,CONFERENCE RMS,TRAING OPEN OFFICE,STAFF KITCHEN AREAS,NEW LITEING,HVAC SYS.WORK IN ADDITON TO 201407032538, 201505207576, 201411192030	$1100000.00	FOOD/BEVERAGE HNDLNG	18819	0	0	0	0	0	18819	18819	0	0	0	-18819	0	0	RSUCRE	Reuben, Junius & Rose LLP		4155679000	South of Market	RED	Residential	SOUTH OF MARKET RESIDENTIAL ENCLAVE	40-X	SUPERVISORIAL DISTRICT 6	Downtown	Western SoMa (EN); Eastern Neighborhoods (Complete); South of Market			(37.77765555710, -122.41040154600)
