PROJECT_TYPE	APN	NAMEADDR	Alias	Entitled	BESTSTAT	BESTDATE	UNITS	UNITSNET	AFFORDABLE	AFFORDABLENET	SECTION415	AFF_TARGET	TENURE_TYPE	DA	CASENO	PLN_DESC	BPAPPLNO	BP_DESC	COST	EXISTUSE	PROPUSE	TOTAL_GSF	NET_GSF	CIE_EXIST	CIE	CIENET	MED_EXIST	MED	MEDNET	MIPS_EXIST	MIPS	MIPSNET	PDR_EXIST	PDR	PDRNET	RET_EXIST	RET	RETNET	VISIT_EXIST	VISIT	VISITNET	PLANNER	APPLICANT	CONTACT	CONTACTPH	NEWNEIGHBO	Zoning_Simplified	Zoning_Generalized	ZONING	HEIGHTLIMIT	SUPDIST	PLNGAREA	Location
Mixres	APN 4884025	CANDLESTICK POINT		TRUE	PL APPROVED	04/10/2014 12:00:00 AM	9835	9579	3345	2833				CP HPS II	2007.0946	Redevelopment plans, rezoning, projects, and infrastructure for 778-acre site encompassing BVHP Areas B, C, and Shipyard, for Candlestick Point, Hunters Point Shipyard, and India Basin Shoreline, including an estimated 9,000-du, 650,000-sf retail, 2,000,0						4040000	3801500	0	100000	100000	0			13500	2650000	2636500	225000	255000	30000	0	885000	885000	0	150000	150000	JNAVARRE	SF Redevelopment Agency	Nicole Franklin		Bayview	P	Public	P	OS	10	South Bayshore	(37.7193832397, -122.3849334717)
Mixres	APN 1939001	TREASURE ISLAND DEVELOPMENT AREA		TRUE	PL APPROVED	03/15/2011 12:00:00 AM	8619	7800	2050	1800				Treasure Island	2007.0903	Development and Redevelopment Plan for Treasure Island and Yerba Buena Island, including land uses up to (approximately): 6,000 units residential, 500 rooms hotel, 250,000-sf retail, 300 acres park and open space, parking, reuse and historic rehabilitatio						381000	381000	0			0			0			0			0	250000	250000	0	131000	131000	JSWITZKY				Rest of City	P	Public	P	OS	6		(37.8242835999, -122.3709487915)
Mixres	APN 7308001	PARKMERCED		TRUE	PL APPROVED	02/10/2011 12:00:00 AM	7887	4666	284	284	On-site BMR Project; Fee Payment			Parkmerced	2008.0021	Master redevelopment program for 116-ac Parkmerced site, proposed to retain existing midrise bldgs and demo/replace all others w/ 4-14-story residential bldgs, on-site relocation of existing residents @ current rent-controlled rates, concurrent infrastruc	MULTIPLE					521450	478383							10775	91390	80615	0			32292	430060	397768	0			AA CONV											(37.7205047607, -122.48387146)
Mixres	APN 5087003	SCHLAGE LOCK	2201 BAYSHORE BLVD	TRUE	PL APPROVED	07/22/2014 12:00:00 AM	1679	1679	168	168	On-site BMR Project; Fee Payment			Schlage Lock	2014.1140	Schlage Lock Project Tentative Subdivision Map #7182 for the development of up to 1,679 dwelling units and up to 20 commercial condominium units over 13 lots, together with parks, open spaces, pedestrian pathways and public streets.						18000	18000	0			0			0	18000	18000	0			0			0			CFLORES											(37.7116546631, -122.4022216797)
Mixres	APN 9900048	PIER 48 / SEAWALL LOT 337	MISSION ROCK	FALSE	PL FILED	04/23/2013 12:00:00 AM	1500	1500						Mission Rock	2013.0208	The proposed project is the development of Seawall Lot 337 and Pier 48 (i.e. Mission Rock), which will include a mixed-use development, including open space, commercial, residential, retail and parking. The project would include approximately 3,600,000 sf			638250000			1950000	1950000	0			0			0	1700000	1700000	0			0	250000	250000	0			TSHEYNER	Jon Knorpp	Jon Knorpp	972-1760	Port	M-2	Industrial	M-2	40-X	6		(37.7757034302, -122.386138916)
Mixres	APN 4644002A	INDIA BASIN	700 INNES ST / 900 INNES ST	FALSE	PL FILED	12/09/2014 12:00:00 AM	1240	1240						India Basin	2014-002541PRJ	The Project proposes a multi phased development with 15.9 acres of publicly accessible parks, plazas and open space, 4.02 acres of publicly accessible sreets, sidewalks, stairs & bike lanes and a total of 1,472,150 sf of development building area (residen						46400	46400	0			0			0			0			0	46400	46400	0			VBYRD	India Basin Investment, LLC		415-551-7626								(37.7301864624, -122.3720397949)
Mixres	APN 4110008A	PIER 70		FALSE	PL FILED	02/10/2015 12:00:00 AM	1100	1100						Pier 70	2014-001272PRJ	"The proposed project would involve development of a 28-acre site into a mixed-use development, including parks, roads, and infrastructure. Below is a breakdown of the use types of the pier 70-waterfront site development. 

Residential ? Development of a r"						1620250	1274650	0			0			0	1102250	1102250	345600	50000	-295600	0	468000	468000	0			ACONTRER	Jack Sylvan	Forest City Development California	415)(								(37.7585678101, -122.3868789673)
Mixres	APN 7308001	PARKMERCED		TRUE	BP FILED	11/23/2016 12:00:00 AM	1013	1013						Parkmerced	2014.1370	Master redevelopment program for 116-ac Parkmerced site, proposed to retain existing midrise bldgs and demo/replace all others w/ 4-14-story residential bldgs, on-site relocation of existing residents @ current rent-controlled rates, concurrent infrastruc	MULTIPLE					0	0	0			0			0			0			0			0			AA CONV	Gibson Dunn & Crutcher LLP	Jim Abrams	415 393 8370								(37.7205047607, -122.48387146)
Mixres	APN 4167004	HOPE SF POTRERO		TRUE	PL APPROVED	10/11/2016 12:00:00 AM	1528	922	800	194		50% AMI; 60% AMI; 	Rental		2010.0515	Replace 606 units of public housing with 1,400-1,700 units of mixed-income, mixed-tenure housing, including 1-to1 replacement of public housing. Project will also include neighborhood serving retail, community facilities, parks and open space, and a new s					APARTMENTS	30000	30000	0			0			0	10000	10000	0			0	20000	20000	0			MSNYDER				Showplace Square & Potrero Hill	RM-2	Residential	RM-2	40-X	10		(37.755821228, -122.3951416016)
Mixres	APN 6310001	HOPE SF SUNNYDALE	1500 SUNNYDALE AV	TRUE	PL APPROVED	07/09/2015 12:00:00 AM	1700	915	1700	915					2010.0305	The project project is the Sunnydale HOPE SF Master Plan. The proposed project would demolish the existing Sunnydale public housing complexes and construct replacement housing, new market rate housing, infrastructure, open space, and community ammentities						72500	43224	0			0			0			0			29276	72500	43224	0			MSNYDER					RM-1	Residential	RM-1	40-X	10		(37.7130889893, -122.4189910889)
