PROJECT_TYPE	BLKLOT	NAMEADDR	Entitled	BESTSTAT	BESTDATE	UNITS	UNITSNET	AFFORDABLE	AFFORDABLENET	SECTION415	AFF_TARGET	TENURE_TYPE	CASENO	DESCRIPT	DBIDESC	TOTAL_GSF	NET_GSF	CIE_EXIST	CIE	CIENET	MED_EXIST	MED	MEDNET	MIPS_EXIST	MIPS	MIPSNET	PDR_EXIST	PDR	PDRNET	RET_EXIST	RET	RETNET	RESTAURANT	RESTAURANTNET	VISIT_EXIST	VISIT	VISITNET	HOTEL_ROOM_EXIST	HOTEL_ROOM_PROP	HOTEL_ROOM_NET	PLANNER	SPONSOR	CONTACT	CONTACTPH	NEIGHBORHOOD	ZONING_SIM	ZONING_GEN	ZONING_DISTRICT	supervisor	PLAN_DISTRICT	PLAN_AREA	Location 1
Mixres	4884025	CANDLESTICK POINT	Yes	PL APPROVED	04/10/2014 12:00:00 AM	9108	9108	3345	2833				2007.0946	Redevelopment plans, rezoning, projects, and infrastructure for 778-acre site encompassing BVHP Areas B, C, and Shipyard, for Candlestick Point, Hunters Point Shipyard, and India Basin Shoreline, including an estimated 9,000-du, 650,000-sf retail, 2,000,0		4040000	3801500	0	100000	100000	0			13500	2650000	2636500	225000	255000	30000	0	885000	885000		0	0	150000	150000	0	220	220	JNAVARRE	SF Redevelopment Agency	Nicole Franklin		Bayview	P	Public	P	10	10 - South Bayshore	Candlestick Point; Bayview Hunters Point	(37.7193832397, -122.3849334717)
Mixres	1939001	TREASURE ISLAND DEVELOPMENT AREA	Yes	PL APPROVED	03/15/2011 12:00:00 AM	8619	7800	2050	1800				2007.0903	Development and Redevelopment Plan for Treasure Island and Yerba Buena Island, including land uses up to (approximately): 6,000 units residential, 500 rooms hotel, 250,000-sf retail, 300 acres park and open space, parking, reuse and historic rehabilitatio		381000	381000	0			0			0			0			0	250000	250000		0	0	131000	131000	0	500	500	JSWITZKY				Treasure Island/YBI	TI-OS	Public	TI-OS	6	 - 	Treasure Island	(37.8242835999, -122.3709487915)
Mixres	7308001	PARKMERCED	Yes	PL APPROVED	02/10/2011 12:00:00 AM	7887	4666	284	284	On-site BMR Project; Fee Payment			2008.0021	Master redevelopment program for 116-ac Parkmerced site, proposed to retain existing midrise bldgs and demo/replace all others w/ 4-14-story residential bldgs, on-site relocation of existing residents @ current rent-controlled rates, concurrent infrastruc		521450	478383							10775	91390	80615	0			32292	430060	397768		0	0						AA CONV				Lakeshore	PM-R	Residential	PM-R	7	13 - Ingleside	Parkmerced	(37.7205047607, -122.48387146)
Mixres	5087003	SCHLAGE LOCK	Yes	PL APPROVED	07/22/2014 12:00:00 AM	1679	1679	168	168	On-site BMR Project; Fee Payment			2014.1140	Schlage Lock Project Tentative Subdivision Map #7182 for the development of up to 1,679 dwelling units and up to 20 commercial condominium units over 13 lots, together with parks, open spaces, pedestrian pathways and public streets.		18000	18000	0			0			0	18000	18000	0			0				0	0						CFLORES				Visitacion Valley	MUG	Mixed Use	MUG	10	10 - South Bayshore	Schlage Lock	(37.7116546631, -122.4022216797)
Mixres	9900048	PIER 48 / SEAWALL LOT 337	No	PL FILED	04/23/2013 12:00:00 AM	1500	1500						2013.0208	The proposed project is the development of Seawall Lot 337 and Pier 48 (i.e. Mission Rock), which will include a mixed-use development, including open space, commercial, residential, retail and parking. The project would include approximately 3,600,000 sf		1950000	1950000	0			0			0	1700000	1700000	0			0	250000	250000			0						TSHEYNER	Jon Knorpp	Jon Knorpp	972-1760	South of Market	M-2	Industrial	M-2	6	9 - South of Market		(37.7757034302, -122.386138916)
Mixres	4644002A	INDIA BASIN	No	PL FILED	12/09/2014 12:00:00 AM	1240	1240						2014-002541PRJ	The Project proposes a multi phased development with 15.9 acres of publicly accessible parks, plazas and open space, 4.02 acres of publicly accessible sreets, sidewalks, stairs & bike lanes and a total of 1,472,150 sf of development building area (residen		46400	46400	0			0			0			0			0	46400	46400		0	0						VBYRD	India Basin Investment, LLC		415-551-7626	Bayview	NC-2	Mixed Use	NC-2	10	10 - South Bayshore	India Basin Shoreline/Area C; India Basin; Bayview Hunters Point	(37.7301864624, -122.3720397949)
Mixres	4110008A	PIER 70	No	PL FILED	02/10/2015 12:00:00 AM	1100	1100						2014-001272PRJ	"The proposed project would involve development of a 28-acre site into a mixed-use development, including parks, roads, and infrastructure. Below is a breakdown of the use types of the pier 70-waterfront site development. 

Residential ? Development of a r"		1620250	1274650	0			0			0	1102250	1102250	345600	50000	-295600	0	468000	468000		0	0						ACONTRER	Jack Sylvan	Forest City Development California	415)(	Potrero Hill	M-2	Industrial	M-2	10	9 - South of Market	Pier 70; Central Waterfront (EN); Dogpatch Public Realm Plan	(37.7585678101, -122.3868789673)
Mixres	7308001	PARKMERCED	Yes	BP FILED	11/23/2016 12:00:00 AM	1013	1013						2014.1370	Master redevelopment program for 116-ac Parkmerced site, proposed to retain existing midrise bldgs and demo/replace all others w/ 4-14-story residential bldgs, on-site relocation of existing residents @ current rent-controlled rates, concurrent infrastruc		0	0	0			0			0			0			0				0	0						AA CONV	Gibson Dunn & Crutcher LLP	Jim Abrams	415 393 8370	Lakeshore	PM-R	Residential	PM-R	7	13 - Ingleside	Parkmerced	(37.7205047607, -122.48387146)
Mixres	4167004	HOPE SF POTRERO	Yes	PL APPROVED	10/11/2016 09:38:00 AM	1623	1004	806	187		50% AMI; 60% AMI; 	Rental	2010.0515	Replace 606 units of public housing with 1,400-1,700 units of mixed-income, mixed-tenure housing, including 1-to1 replacement of public housing. Project will also include neighborhood serving retail, community facilities, parks and open space, and a new s		30000	30000	0			0			0	10000	10000	0			0	20000	20000			0						MSNYDER				Potrero Hill	RM-2	Residential	RM-2	10	9 - South of Market	Showplace Square/Potrero Hill (EN)	(37.755821228, -122.3951416016)
Mixres	6310001	HOPE SF SUNNYDALE	Yes	PL APPROVED	07/09/2015 12:00:00 AM	1669	894	994	219				2010.0305	The project project is the Sunnydale HOPE SF Master Plan. The proposed project would demolish the existing Sunnydale public housing complexes and construct replacement housing, new market rate housing, infrastructure, open space, and community ammentities		72500	43224	0			0			0			0			29276	72500	43224		0	0						MSNYDER				Visitacion Valley	RM-1	Residential	RM-1	10	12 - South Central		(37.7130889893, -122.4189910889)
