PROJECT_TYPE	BLKLOT	NAMEADDR	ENTITLED	BESTSTAT	BESTDATE	UNITS	UNITSNET	AFFORDABLE	AFFORDABLE_NET	SECTION415	AFF_TARGET	TENURE_TYPE	CASENO	DESCRIPT	DBIDESC	TOTAL_GSF	NET_GSF	CIE_EXIST	CIE	CIENET	MED_EXIST	MED	MEDNET	MIPS_EXIST	MIPS	MIPSNET	PDR_EXIST	PDR	PDRNET	RET_EXIST	RET	RETNET	RESTAURANT	RESTAURANT_NET	VISIT_EXIST	VISIT	VISITNET	HOTEL_ROOM_EXIST	HOTEL_ROOM	HOTEL_ROOM_NET	PLANNER	SPONSOR	CONTACT	CONTACTPH	YEAR_	QTR	YEAR_QTR	PD	SD	PLANAREA	PDA	Location 1
CIE	4712008	1 ARDATH COURT (COMMUNITY CENTER)	FALSE	BP FILED	12/17/2015 12:00:00 AM	0	0	0	0				2015-003310PRJ	New construction of a community center to be located on an empty patch of land on the corner of Harbor Road and Ingalls Street.	"ERECT 1-STORY, NO BASEMENT, TYPE 5-1, COMMUNITY CENTER.
** MAHER: N/A **"	5588	5588	0	5588	5588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	JDISALVO	HB&A Architects	Hafsa Burt	415-702-1609	2017	Q4	2017_Q4	10 - South Bayshore	10	Bayview Hunters Point	Bayview/Hunters Point Shipyard/Candlestick Point	(37.73424319480, -122.38243028800)
Resident	6696001	1 BEMIS ST	FALSE	BP Filed	07/07/2017 12:00:00 AM	2	1	0	0						(N) 3RD FLR ADDITION; BAY WINDOW @ 2ND & 3RD FLRS, (N) REAR DECK & STAIR TO REPLACE (E) INTERIOR REM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					2017	Q4	2017_Q4	7 - Central	8		Mission-San Jose Corridor	(37.73808600050, -122.42877488000)
Resident	2651002	1 CORBETT AV	FALSE	BP Filed	06/06/2017 12:00:00 AM	3	1	0	0						LEGALIZE (E) IN LAW PER ORDINANCE# 43-14. 3 BEDROOMS, 2 BATHS FOR NEW UNIT. ADD BICYCLE RACK. ADD SP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					2017	Q4	2017_Q4	7 - Central	8		Rest of the City	(37.76194690550, -122.43966828000)
Resident	6978069	1 EDGAR AV	FALSE	BP FILED	05/08/2015 12:00:00 AM	1	1	0	0						CONSTRUCT (N) 3-STORY SINGLE FAMILY DWELLING UNIT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FLORESVE				2017	Q4	2017_Q4	13 - Ingleside	11		Rest of the City	(37.72039399170, -122.45252132300)
Resident	6525001A	1 HORACE ST	FALSE	BP FILED	09/24/2014 12:00:00 AM	2	1	0	0				2014	Variance request to the rear yard requirement to permit the new construction of an additional dwelling unit.	CONSTRUCT (N) 3-STORY SINGLE FAMILY RESIDENCE.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RSUCRE	Chris Giouzelis	Yakuh Askew	415-920-1839	2017	Q4	2017_Q4	8 - Mission	9	Mission (EN); Mission District Streetscape Plan	Eastern Neighborhoods	(37.75072284670, -122.41439795300)
Vacant	292002	1 MONTGOMERY ST	FALSE	PL FILED	09/07/2016 12:00:00 AM	0	0	0	0				2016-004810PRJ			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					2017	Q4	2017_Q4	4 - Downtown	3	Downtown; Downtown Streetscape Plan	Downtown-Van Ness-Geary	(37.78924954720, -122.40241859700)
Resident	5688040	1 PUTNAM ST	FALSE	BP FILED	05/12/2016 12:00:00 AM	1	-1	0	0						REMOV ILLEGAL UNIT TRIGGERS AVALOS LEGISLATION ORD 33-16 DWELLING UNIT CONSTRUCTED OR INSTALLED WITHOUT PERMIT (REVERT INTERIOR AT LOWER GARAGE LEVEL BACK TO LAST KNOWN LEGAL STATUS (DBI APP #2002-23-03-4390) NOV#201579415- REMOVAL OF ILLEGAL BEDRM BACK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	JIMENEZS				2017	Q4	2017_Q4	11 - Bernal Heights	9		Rest of the City	(37.73967021980, -122.41059708500)
Mixres	1084001B	1 STANYAN ST	TRUE	CONSTRUCTION	10/25/2017 12:00:00 AM	13	13	0	0	Fee Payment			2007	The proposed project would demolish the existing gas station and construct a new 13-unit residential building with 1,700 sq. ft. of ground floor retail and 14 parking spaces. The building would be approx. 24,256 sq ft, four-stories, and 40 feet in height	TO ERECT 4 STORIES, NO BASEMENT, 13 UNITS RESIDENTIAL WITH RETAIL & PARKING BUILDING.	1700	-5810	0	0	0	0	0	0	0	0	0	0	0	0	7510	1700	-5810	0	0	0	0	0	0	0	0	SVELLVE	John E. McInerney Esq.	Bruce Baumann	415 551-7884	2017	Q4	2017_Q4	1 - Richmond	1		Rest of the City	(37.78107236290, -122.45652162500)
Retail/Ent	86012	1 TELEGRAPH HILL BL	TRUE	BP ISSUED	11/23/2016 12:00:00 AM	0	0	0	0				2016-006762PRJ	(REAR BUILDING) TO ERECT 1 STORY, NO BASEMENT, LIMITED RESTAURANT.	(REAR BUILDING) TO ERECT 1 STORY, NO BASEMENT, LIMITED RESTAURANT.	135	-865	0	0	0	0	0	0	0	0	0	0	0	0	1000	135	-865	0	0	0	0	0	0	0	0	LAVALLEY	RECREATION AND PARK DEPARTMENT DEPA	RECREATION AND PARK DEPARTMENT		2017	Q4	2017_Q4	3 - Northeast	3		Downtown-Van Ness-Geary	(37.80227176320, -122.40586830500)
Resident	4974026	10 GILROY ST	FALSE	BP Filed	10/26/2017 12:00:00 AM	2	1	0	0						LEGALIZE IN LAW UNIT PER ORDINANCE# 43-14. 1ST FLOOR: 1 KITCHEN, LIVING ROOM, 1 FULL BATH & 1 BEDROO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					2017	Q4	2017_Q4	10 - South Bayshore	10	Bayview Hunters Point	Bayview/Hunters Point Shipyard/Candlestick Point	(37.71637006610, -122.38895001400)
